Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Octahedral Factor
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
138.0,138.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
152.0,152.0,119,181.0,181.0,181.0,181.0,0.6574585635359116
