Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Octahedral Factor,Tolerance Factor
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7878394451802871
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7878394451802871
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7878394451802871
102.0,102.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.7878394451802871
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.8880593039311364
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.8880593039311364
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.8880593039311364
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.8880593039311364
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.8880593039311364
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.8880593039311364
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.8880593039311364
138.0,138.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.8880593039311364
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9270336934453556
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9270336934453556
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9270336934453556
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9270336934453556
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9270336934453556
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9270336934453556
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9270336934453556
152.0,152.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9270336934453556
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9687919679248761
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9687919679248761
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9687919679248761
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9687919679248761
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9687919679248761
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9687919679248761
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9687919679248761
167.0,167.0,73,181.0,181.0,181.0,181.0,0.40331491712707185,0.9687919679248761
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6202267671158453
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6202267671158453
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6202267671158453
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6202267671158453
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6202267671158453
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6202267671158453
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6202267671158453
76.0,76.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6202267671158453
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6829734439446857
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6829734439446857
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6829734439446857
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6829734439446857
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6829734439446857
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6829734439446857
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6829734439446857
102.0,102.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.6829734439446857
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.7698534580153878
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.7698534580153878
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.7698534580153878
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.7698534580153878
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.7698534580153878
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.7698534580153878
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.7698534580153878
138.0,138.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.7698534580153878
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8036401301539942
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8036401301539942
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8036401301539942
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8036401301539942
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8036401301539942
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8036401301539942
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8036401301539942
152.0,152.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8036401301539942
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8398401360167868
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8398401360167868
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8398401360167868
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8398401360167868
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8398401360167868
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8398401360167868
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8398401360167868
167.0,167.0,112,181.0,181.0,181.0,181.0,0.6187845303867403,0.8398401360167868
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6057548092164757
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6057548092164757
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6057548092164757
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6057548092164757
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6057548092164757
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6057548092164757
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6057548092164757
76.0,76.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6057548092164757
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6670373969193099
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6670373969193099
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6670373969193099
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6670373969193099
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6670373969193099
102.0,102.0,119,181.0,181.0,181.0,181.0,0.6574585635359116,0.6670373969193099
