Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,ion
Na,Na,Pb,Br,Br,Br,Br,Al
Na,Na,Pb,Br,Br,Br,Br,Ca
Na,Na,Pb,Br,Br,Br,Br,Mg
Na,Na,Pb,Br,Br,Br,Br,F
K,K,Pb,Br,Br,Br,Br,Li
K,K,Pb,Br,Br,Br,Br,Zn
K,K,Pb,Br,Br,Br,Br,K
K,K,Pb,Br,Br,Br,Br,Na
K,K,Pb,Br,Br,Br,Br,Al
K,K,Pb,Br,Br,Br,Br,Ca
K,K,Pb,Br,Br,Br,Br,Mg
K,K,Pb,Br,Br,Br,Br,F
Rb,Rb,Pb,Br,Br,Br,Br,Li
Rb,Rb,Pb,Br,Br,Br,Br,Zn
Rb,Rb,Pb,Br,Br,Br,Br,K
Rb,Rb,Pb,Br,Br,Br,Br,Na
Rb,Rb,Pb,Br,Br,Br,Br,Al
Rb,Rb,Pb,Br,Br,Br,Br,Ca
Rb,Rb,Pb,Br,Br,Br,Br,Mg
Rb,Rb,Pb,Br,Br,Br,Br,F
Cs,Cs,Pb,Br,Br,Br,Br,Li
Cs,Cs,Pb,Br,Br,Br,Br,Zn
Cs,Cs,Pb,Br,Br,Br,Br,K
Cs,Cs,Pb,Br,Br,Br,Br,Na
Cs,Cs,Pb,Br,Br,Br,Br,Al
Cs,Cs,Pb,Br,Br,Br,Br,Ca
Cs,Cs,Pb,Br,Br,Br,Br,Mg
Cs,Cs,Pb,Br,Br,Br,Br,F
Li,Li,Ge,I,I,I,I,Li
Li,Li,Ge,I,I,I,I,Zn
Li,Li,Ge,I,I,I,I,K
Li,Li,Ge,I,I,I,I,Na
Li,Li,Ge,I,I,I,I,Al
Li,Li,Ge,I,I,I,I,Ca
Li,Li,Ge,I,I,I,I,Mg
Li,Li,Ge,I,I,I,I,F
Na,Na,Ge,I,I,I,I,Li
Na,Na,Ge,I,I,I,I,Zn
Na,Na,Ge,I,I,I,I,K
Na,Na,Ge,I,I,I,I,Na
Na,Na,Ge,I,I,I,I,Al
Na,Na,Ge,I,I,I,I,Ca
Na,Na,Ge,I,I,I,I,Mg
Na,Na,Ge,I,I,I,I,F
K,K,Ge,I,I,I,I,Li
K,K,Ge,I,I,I,I,Zn
K,K,Ge,I,I,I,I,K
K,K,Ge,I,I,I,I,Na
K,K,Ge,I,I,I,I,Al
K,K,Ge,I,I,I,I,Ca
K,K,Ge,I,I,I,I,Mg
K,K,Ge,I,I,I,I,F
Rb,Rb,Ge,I,I,I,I,Li
Rb,Rb,Ge,I,I,I,I,Zn
Rb,Rb,Ge,I,I,I,I,K
Rb,Rb,Ge,I,I,I,I,Na
Rb,Rb,Ge,I,I,I,I,Al
Rb,Rb,Ge,I,I,I,I,Ca
Rb,Rb,Ge,I,I,I,I,Mg
Rb,Rb,Ge,I,I,I,I,F
Cs,Cs,Ge,I,I,I,I,Li
Cs,Cs,Ge,I,I,I,I,Zn
