,solar_Element_1,solar_Element_2,solar_Element_3,solar_Element_4,solar_Element_5,solar_Element_6,solar_Element_7,solar_ion
103,0.2121902,0.2121902,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.14519602
104,0.13468511,0.13468511,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.24562924
105,0.13468511,0.13468511,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.21135272
106,0.13468511,0.13468511,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.2121902
107,0.13468511,0.13468511,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.26328102
108,0.13468511,0.13468511,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.2466504
109,0.13468511,0.13468511,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.17888987
110,0.13468511,0.13468511,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.09761983
111,0.13468511,0.13468511,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.14519602
112,0.24314453,0.24314453,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.24562924
113,0.24314453,0.24314453,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.21135272
114,0.24314453,0.24314453,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.2121902
115,0.24314453,0.24314453,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.26328102
116,0.24314453,0.24314453,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.2466504
117,0.24314453,0.24314453,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.17888987
118,0.24314453,0.24314453,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.09761983
119,0.24314453,0.24314453,0.12345503,0.14519602,0.14519602,0.14519602,0.14519602,0.14519602
120,0.24562924,0.24562924,0.34884757,0.13827051,0.13827051,0.13827051,0.13827051,0.24562924
121,0.24562924,0.24562924,0.34884757,0.13827051,0.13827051,0.13827051,0.13827051,0.21135272
122,0.24562924,0.24562924,0.34884757,0.13827051,0.13827051,0.13827051,0.13827051,0.2121902
123,0.24562924,0.24562924,0.34884757,0.13827051,0.13827051,0.13827051,0.13827051,0.26328102
124,0.24562924,0.24562924,0.34884757,0.13827051,0.13827051,0.13827051,0.13827051,0.2466504
125,0.24562924,0.24562924,0.34884757,0.13827051,0.13827051,0.13827051,0.13827051,0.17888987
126,0.24562924,0.24562924,0.34884757,0.13827051,0.13827051,0.13827051,0.13827051,0.09761983
127,0.24562924,0.24562924,0.34884757,0.13827051,0.13827051,0.13827051,0.13827051,0.14519602
128,0.26328102,0.26328102,0.34884757,0.13827051,0.13827051,0.13827051,0.13827051,0.24562924
129,0.26328102,0.26328102,0.34884757,0.13827051,0.13827051,0.13827051,0.13827051,0.21135272
130,0.26328102,0.26328102,0.34884757,0.13827051,0.13827051,0.13827051,0.13827051,0.2121902
131,0.26328102,0.26328102,0.34884757,0.13827051,0.13827051,0.13827051,0.13827051,0.26328102
132,0.26328102,0.26328102,0.34884757,0.13827051,0.13827051,0.13827051,0.13827051,0.2466504
