,photo_Element_1,photo_Element_2,photo_Element_3,photo_Element_4,photo_Element_5,photo_Element_6,photo_Element_7,photo_ion
26,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.24078286
27,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.24808288
28,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.3135546
29,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.17932105
30,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.16434124
31,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.2255989
32,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.21369803
33,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.285988
34,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.24078286
35,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.24808288
36,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.3135546
37,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.17932105
38,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.16434124
39,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.2255989
40,0.21369803,0.21369803,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989,0.21369803
41,0.21369803,0.21369803,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989,0.285988
42,0.21369803,0.21369803,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989,0.24078286
43,0.21369803,0.21369803,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989,0.24808288
44,0.21369803,0.21369803,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989,0.3135546
45,0.21369803,0.21369803,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989,0.17932105
46,0.21369803,0.21369803,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989,0.16434124
