,stable_Element_1,stable_Element_2,stable_Element_3,stable_Element_4,stable_Element_5,stable_Element_6,stable_Element_7,stable_ion
141,0.287042,0.287042,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.33606577
142,0.287042,0.287042,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.41539073
143,0.287042,0.287042,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.2955075
144,0.38388637,0.38388637,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.3668327
145,0.38388637,0.38388637,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.31597647
146,0.38388637,0.38388637,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.287042
147,0.38388637,0.38388637,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.38132802
148,0.38388637,0.38388637,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.2410393
149,0.38388637,0.38388637,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.33606577
150,0.38388637,0.38388637,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.41539073
151,0.38388637,0.38388637,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.2955075
152,0.4965323,0.4965323,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.3668327
153,0.4965323,0.4965323,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.31597647
154,0.4965323,0.4965323,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.287042
155,0.4965323,0.4965323,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.38132802
156,0.4965323,0.4965323,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.2410393
157,0.4965323,0.4965323,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.33606577
158,0.4965323,0.4965323,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.41539073
159,0.4965323,0.4965323,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.2955075
160,0.3668327,0.3668327,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.3668327
161,0.3668327,0.3668327,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.31597647
162,0.3668327,0.3668327,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.287042
163,0.3668327,0.3668327,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.38132802
164,0.3668327,0.3668327,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.2410393
165,0.3668327,0.3668327,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.33606577
166,0.3668327,0.3668327,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.41539073
167,0.3668327,0.3668327,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.2955075
168,0.38132802,0.38132802,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.3668327
169,0.38132802,0.38132802,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.31597647
170,0.38132802,0.38132802,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.287042
171,0.38132802,0.38132802,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.38132802
172,0.38132802,0.38132802,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.2410393
173,0.38132802,0.38132802,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.33606577
174,0.38132802,0.38132802,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.41539073
175,0.38132802,0.38132802,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.2955075
176,0.287042,0.287042,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.3668327
177,0.287042,0.287042,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.31597647
178,0.287042,0.287042,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.287042
179,0.287042,0.287042,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.38132802
180,0.287042,0.287042,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.2410393
181,0.287042,0.287042,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.33606577
182,0.287042,0.287042,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.41539073
183,0.287042,0.287042,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.2955075
184,0.38388637,0.38388637,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.3668327
185,0.38388637,0.38388637,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.31597647
186,0.38388637,0.38388637,0.33698854,0.35160717,0.35160717,0.35160717,0.35160717,0.287042
