A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,A2 Number of Shells,B Number of Shells,X1 Number of Shells,X2 Number of Shells,X3 Number of Shells,X4 Number of Shells,Ion Number of Shells,A1 Specific Heat,A2 Specific Heat,B Specific Heat,X1 Specific Heat,X2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,Ion Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstlonization,A2 Firstlonization,B Firstlonization,X1 Firstlonization,X2 Firstlonization,X3 Firstlonization,X4 Firstlonization,Ion Firstlonization,A1 AtomicMass,A2  AtomicMass,B  AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,B Melting Point,X1 Melting Point,X2 Melting Point,X3 Melting Point,X4 Melting Point,Ion Melting Point,Without ion Final Energy(ev),With ion Final Energy(ev),Ion Energy(ev),Adsorption energy(ev)
3,19,50,35,35,35,35,20,4,20,69,45,45,45,45,20,2,4,5,4,4,4,4,4,3.582,0.757,0.228,0.474,0.474,0.474,0.474,0.647,0.534,0.862,7.29,3.12,3.12,3.12,3.12,1.54,2.1,2.8,1.7,1.1,1.1,1.1,1.1,2.2,5.3917,4.3407,7.3439,11.8138,11.8138,11.8138,11.8138,6.1132,6.941,39.098,118.71,79.904,79.904,79.904,79.904,40.078,453.85,336.5,505.21,266.05,266.05,266.05,266.05,1112.15,-4903.262548,-5909.48735,-1002.3398,0
55,55,32,35,35,35,35,9,78,78,41,45,45,45,45,10,6,6,4,4,4,4,4,2,0.242,0.242,0.32,0.474,0.474,0.474,0.474,0.824,1.87,1.87,5.32,3.12,3.12,3.12,3.12,0.0017,3.3,3.3,1.5,1.1,1.1,1.1,1.1,0.57,3.8939,3.8939,7.8994,11.8138,11.8138,11.8138,11.8138,17.4228,132.905,132.905,72.64,79.904,79.904,79.904,79.904,18.998,301.7,301.7,1211.45,266.05,266.05,266.05,266.05,53.63,-5949.968748,-6610.606995,-656.7593,0
11,11,82,9,9,9,9,11,12,12,125,10,10,10,10,12,3,3,6,2,2,2,2,3,1.228,1.228,0.129,0.824,0.824,0.824,0.824,1.228,0.971,0.971,11.3,0.0017,0.0017,0.0017,0.0017,0.971,2.2,2.2,1.8,0.57,0.57,0.57,0.57,2.2,5.1391,5.1391,7.4167,17.4228,17.4228,17.4228,17.4228,5.1391,22.99,22.99,207.2,18.998,18.998,18.998,18.998,22.99,371.15,371.15,600.75,53.63,53.63,53.63,53.63,371.15,-10686.34741,-11994.39791,-1304.181,0
3,3,82,35,35,35,53,19,4,4,125,45,45,45,74,20,2,2,6,4,4,4,5,4,3.582,3.582,0.129,0.474,0.474,0.474,0.214,0.757,0.534,0.534,11.3,3.12,3.12,3.12,4.93,0.862,2.1,2.1,1.8,1.1,1.1,1.1,1.3,2.8,5.3917,5.3917,7.4167,11.8138,11.8138,11.8138,10.4513,4.3407,6.941,6.941,207.2,79.904,79.904,79.904,126.904,39.098,453.85,453.85,600.75,266.05,266.05,266.05,386.65,336.5,-8026.537709,-8820.751577,-790.3531,0
19,19,50,53,53,53,53,9,20,20,69,74,74,74,74,10,4,4,5,5,5,5,5,2,0.757,0.757,0.228,0.214,0.214,0.214,0.214,0.824,0.862,0.862,7.29,4.93,4.93,4.93,4.93,0.0017,2.8,2.8,1.7,1.3,1.3,1.3,1.3,0.57,4.3407,4.3407,7.3439,10.4513,10.4513,10.4513,10.4513,17.4228,39.098,39.098,118.71,126.904,126.904,126.904,126.904,18.998,336.5,336.5,505.21,386.65,386.65,386.65,386.65,53.63,-6822.075172,-7482.680574,-656.7593,0
37,37,50,9,9,9,9,19,48,48,69,10,10,10,10,20,5,5,5,2,2,2,2,4,0.363,0.363,0.228,0.824,0.824,0.824,0.824,0.757,1.53,1.53,7.29,0.0017,0.0017,0.0017,0.0017,0.862,3,3,1.7,0.57,0.57,0.57,0.57,2.8,4.1771,4.1771,7.3439,17.4228,17.4228,17.4228,17.4228,4.3407,85.468,85.468,118.71,18.998,18.998,18.998,18.998,39.098,312.79,312.79,505.21,53.63,53.63,53.63,53.63,336.5,-6078.786385,-6872.971869,-790.3531,0
11,11,82,35,35,35,53,20,12,12,125,45,45,45,74,20,3,3,6,4,4,4,5,4,1.228,1.228,0.129,0.474,0.474,0.474,0.214,0.647,0.971,0.971,11.3,3.12,3.12,3.12,4.93,1.54,2.2,2.2,1.8,1.1,1.1,1.1,1.3,2.2,5.1391,5.1391,7.4167,11.8138,11.8138,11.8138,10.4513,6.1132,22.99,22.99,207.2,79.904,79.904,79.904,126.904,40.078,371.15,371.15,600.75,266.05,266.05,266.05,386.65,1112.15,-10232.14793,-11238.31578,-1002.3398,0
55,55,82,18,18,18,18,9,78,78,125,18,18,18,18,10,6,6,6,3,3,3,3,2,0.242,0.242,0.129,0.479,0.479,0.479,0.479,0.824,1.87,1.87,11.3,0.00321,0.00321,0.00321,0.00321,0.0017,3.3,3.3,1.8,0.97,0.97,0.97,0.97,0.57,3.8939,3.8939,7.4167,12.9676,12.9676,12.9676,12.9676,17.4228,132.905,132.905,207.2,35.453,35.453,35.453,35.453,18.998,301.7,301.7,600.75,172.31,172.31,172.31,172.31,53.63,-8679.194419,-9339.75566,-656.7593,0
19,19,50,53,53,53,53,3,20,20,69,74,74,74,74,4,4,4,5,5,5,5,5,2,0.757,0.757,0.228,0.214,0.214,0.214,0.214,3.582,0.862,0.862,7.29,4.93,4.93,4.93,4.93,0.534,2.8,2.8,1.7,1.3,1.3,1.3,1.3,2.1,4.3407,4.3407,7.3439,10.4513,10.4513,10.4513,10.4513,5.3917,39.098,39.098,118.71,126.904,126.904,126.904,126.904,6.941,336.5,336.5,505.21,386.65,386.65,386.65,386.65,453.85,-6822.075172,-7025.917621,-200.0479,0
37,37,50,53,53,53,53,3,48,48,69,74,74,74,74,4,5,5,5,5,5,5,5,2,0.363,0.363,0.228,0.214,0.214,0.214,0.214,3.582,1.53,1.53,7.29,4.93,4.93,4.93,4.93,0.534,3,3,1.7,1.3,1.3,1.3,1.3,2.1,4.1771,4.1771,7.3439,10.4513,10.4513,10.4513,10.4513,5.3917,85.468,85.468,118.71,126.904,126.904,126.904,126.904,6.941,312.79,312.79,505.21,386.65,386.65,386.65,386.65,453.85,-6620.778866,-6824.605524,-200.0479,0
3,3,50,18,18,18,35,19,4,4,69,18,18,18,45,20,2,2,5,3,3,3,4,4,3.582,3.582,0.228,0.479,0.479,0.479,0.474,0.757,0.534,0.534,7.29,0.00321,0.00321,0.00321,3.12,0.862,2.1,2.1,1.7,0.97,0.97,0.97,1.1,2.8,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,11.8138,4.3407,6.941,6.941,118.71,35.453,35.453,35.453,79.904,39.098,453.85,453.85,505.21,172.31,172.31,172.31,266.05,336.5,-4190.742257,-4984.873351,-790.3531,0
37,37,82,35,35,35,35,9,48,48,125,45,45,45,45,10,5,5,6,4,4,4,4,2,0.363,0.363,0.129,0.474,0.474,0.474,0.474,0.824,1.53,1.53,11.3,3.12,3.12,3.12,3.12,0.0017,3,3,1.8,1.1,1.1,1.1,1.1,0.57,4.1771,4.1771,7.4167,11.8138,11.8138,11.8138,11.8138,17.4228,85.468,85.468,207.2,79.904,79.904,79.904,79.904,18.998,312.79,312.79,600.75,266.05,266.05,266.05,266.05,53.63,-8672.777297,-9333.30047,-656.7593,0
11,11,82,35,35,35,35,20,12,12,125,45,45,45,45,20,3,3,6,4,4,4,4,4,1.228,1.228,0.129,0.474,0.474,0.474,0.474,0.647,0.971,0.971,11.3,3.12,3.12,3.12,3.12,1.54,2.2,2.2,1.8,1.1,1.1,1.1,1.1,2.2,5.1391,5.1391,7.4167,11.8138,11.8138,11.8138,11.8138,6.1132,22.99,22.99,207.2,79.904,79.904,79.904,79.904,40.078,371.15,371.15,600.75,266.05,266.05,266.05,266.05,1112.15,-9899.854619,-10905.95763,-1002.3398,0
37,37,32,9,9,9,9,19,48,48,41,10,10,10,10,20,5,5,4,2,2,2,2,4,0.363,0.363,0.32,0.824,0.824,0.824,0.824,0.757,1.53,1.53,5.32,0.0017,0.0017,0.0017,0.0017,0.862,3,3,1.5,0.57,0.57,0.57,0.57,2.8,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,17.4228,4.3407,85.468,85.468,72.64,18.998,18.998,18.998,18.998,39.098,312.79,312.79,1211.45,53.63,53.63,53.63,53.63,336.5,-6567.604186,-7361.715139,-790.3531,0
11,11,50,53,53,53,53,3,12,12,69,74,74,74,74,4,3,3,5,5,5,5,5,2,1.228,1.228,0.228,0.214,0.214,0.214,0.214,3.582,0.971,0.971,7.29,4.93,4.93,4.93,4.93,0.534,2.2,2.2,1.7,1.3,1.3,1.3,1.3,2.1,5.1391,5.1391,7.3439,10.4513,10.4513,10.4513,10.4513,5.3917,22.99,22.99,118.71,126.904,126.904,126.904,126.904,6.941,371.15,371.15,505.21,386.65,386.65,386.65,386.65,453.85,-7847.815822,-8051.618908,-200.0479,0
55,55,82,53,53,53,53,19,78,78,125,74,74,74,74,20,6,6,6,5,5,5,5,4,0.242,0.242,0.129,0.214,0.214,0.214,0.214,0.757,1.87,1.87,11.3,4.93,4.93,4.93,4.93,0.862,3.3,3.3,1.8,1.3,1.3,1.3,1.3,2.8,3.8939,3.8939,7.4167,10.4513,10.4513,10.4513,10.4513,4.3407,132.905,132.905,207.2,126.904,126.904,126.904,126.904,39.098,301.7,301.7,600.75,386.65,386.65,386.65,386.65,336.5,-10171.02572,-10965.11257,-790.3531,0
11,11,50,9,9,9,9,11,12,12,69,10,10,10,10,12,3,3,5,2,2,2,2,3,1.228,1.228,0.228,0.824,0.824,0.824,0.824,1.228,0.971,0.971,7.29,0.0017,0.0017,0.0017,0.0017,0.971,2.2,2.2,1.7,0.57,0.57,0.57,0.57,2.2,5.1391,5.1391,7.3439,17.4228,17.4228,17.4228,17.4228,5.1391,22.99,22.99,118.71,18.998,18.998,18.998,18.998,22.99,371.15,371.15,505.21,53.63,53.63,53.63,53.63,371.15,-7305.485436,-8613.372493,-1304.181,0
37,37,32,53,53,53,53,3,48,48,41,74,74,74,74,4,5,5,4,5,5,5,5,2,0.363,0.363,0.32,0.214,0.214,0.214,0.214,3.582,1.53,1.53,5.32,4.93,4.93,4.93,4.93,0.534,3,3,1.5,1.3,1.3,1.3,1.3,2.1,4.1771,4.1771,7.8994,10.4513,10.4513,10.4513,10.4513,5.3917,85.468,85.468,72.64,126.904,126.904,126.904,126.904,6.941,312.79,312.79,1211.45,386.65,386.65,386.65,386.65,453.85,-7109.915657,-7313.663079,-200.0479,0
11,11,82,53,53,53,53,3,12,12,125,74,74,74,74,4,3,3,6,5,5,5,5,2,1.228,1.228,0.129,0.214,0.214,0.214,0.214,3.582,0.971,0.971,11.3,4.93,4.93,4.93,4.93,0.534,2.2,2.2,1.8,1.3,1.3,1.3,1.3,2.1,5.1391,5.1391,7.4167,10.4513,10.4513,10.4513,10.4513,5.3917,22.99,22.99,207.2,126.904,126.904,126.904,126.904,6.941,371.15,371.15,600.75,386.65,386.65,386.65,386.65,453.85,-11228.63344,-11432.35485,-200.0479,0
37,37,50,18,18,18,18,20,48,48,69,18,18,18,18,20,5,5,5,3,3,3,3,4,0.363,0.363,0.228,0.479,0.479,0.479,0.479,0.647,1.53,1.53,7.29,0.00321,0.00321,0.00321,0.00321,1.54,3,3,1.7,0.97,0.97,0.97,0.97,2.2,4.1771,4.1771,7.3439,12.9676,12.9676,12.9676,12.9676,6.1132,85.468,85.468,118.71,35.453,35.453,35.453,35.453,40.078,312.79,312.79,505.21,172.31,172.31,172.31,172.31,1112.15,-5128.741271,-6134.740926,-1002.3398,0
19,55,50,18,18,18,18,20,20,78,69,18,18,18,18,20,4,6,5,3,3,3,3,4,0.757,0.242,0.228,0.479,0.479,0.479,0.479,0.647,0.862,1.87,7.29,0.00321,0.00321,0.00321,0.00321,1.54,2.8,3.3,1.7,0.97,0.97,0.97,0.97,2.2,4.3407,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,6.1132,39.098,132.905,118.71,35.453,35.453,35.453,35.453,40.078,336.5,301.7,505.21,172.31,172.31,172.31,172.31,1112.15,-5314.29355,-6320.283567,-1002.3398,0
55,55,50,35,35,35,35,3,78,78,69,45,45,45,45,4,6,6,5,4,4,4,4,2,0.242,0.242,0.228,0.474,0.474,0.474,0.474,3.582,1.87,1.87,7.29,3.12,3.12,3.12,3.12,0.534,3.3,3.3,1.7,1.1,1.1,1.1,1.1,2.1,3.8939,3.8939,7.3439,11.8138,11.8138,11.8138,11.8138,5.3917,132.905,132.905,118.71,79.904,79.904,79.904,79.904,6.941,301.7,301.7,505.21,266.05,266.05,266.05,266.05,453.85,-5461.108635,-5664.775263,-200.0479,0
3,3,50,18,18,18,35,20,4,4,69,18,18,18,45,20,2,2,5,3,3,3,4,4,3.582,3.582,0.228,0.479,0.479,0.479,0.474,0.647,0.534,0.534,7.29,0.00321,0.00321,0.00321,3.12,1.54,2.1,2.1,1.7,0.97,0.97,0.97,1.1,2.2,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,11.8138,6.1132,6.941,6.941,118.71,35.453,35.453,35.453,79.904,40.078,453.85,453.85,505.21,172.31,172.31,172.31,266.05,1112.15,-4190.742257,-5196.698315,-1002.3398,0
3,3,50,35,35,35,35,19,4,4,69,45,45,45,45,20,2,2,5,4,4,4,4,4,3.582,3.582,0.228,0.474,0.474,0.474,0.474,0.757,0.534,0.534,7.29,3.12,3.12,3.12,3.12,0.862,2.1,2.1,1.7,1.1,1.1,1.1,1.1,2.8,5.3917,5.3917,7.3439,11.8138,11.8138,11.8138,11.8138,4.3407,6.941,6.941,118.71,79.904,79.904,79.904,79.904,39.098,453.85,453.85,505.21,266.05,266.05,266.05,266.05,336.5,-4313.218895,-5107.181505,-790.3531,0
37,37,32,53,53,53,53,9,48,48,41,74,74,74,74,10,5,5,4,5,5,5,5,2,0.363,0.363,0.32,0.214,0.214,0.214,0.214,0.824,1.53,1.53,5.32,4.93,4.93,4.93,4.93,0.0017,3,3,1.5,1.3,1.3,1.3,1.3,0.57,4.1771,4.1771,7.8994,10.4513,10.4513,10.4513,10.4513,17.4228,85.468,85.468,72.64,126.904,126.904,126.904,126.904,18.998,312.79,312.79,1211.45,386.65,386.65,386.65,386.65,53.63,-7109.915657,-7770.277551,-656.7593,0
11,11,50,18,18,18,35,3,12,12,69,18,18,18,45,4,3,3,5,3,3,3,4,2,1.228,1.228,0.228,0.479,0.479,0.479,0.474,3.582,0.971,0.971,7.29,0.00321,0.00321,0.00321,3.12,0.534,2.2,2.2,1.7,0.97,0.97,0.97,1.1,2.1,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,11.8138,5.3917,22.99,22.99,118.71,35.453,35.453,35.453,79.904,6.941,371.15,371.15,505.21,172.31,172.31,172.31,266.05,453.85,-6396.420853,-6600.061339,-200.0479,0
3,3,32,35,35,35,35,19,4,4,41,45,45,45,45,20,2,2,4,4,4,4,4,4,3.582,3.582,0.32,0.474,0.474,0.474,0.474,0.757,0.534,0.534,5.32,3.12,3.12,3.12,3.12,0.862,2.1,2.1,1.5,1.1,1.1,1.1,1.1,2.8,5.3917,5.3917,7.8994,11.8138,11.8138,11.8138,11.8138,4.3407,6.941,6.941,72.64,79.904,79.904,79.904,79.904,39.098,453.85,453.85,1211.45,266.05,266.05,266.05,266.05,336.5,-4802.114496,-5596.057878,-790.3531,0
55,55,82,35,35,35,35,3,78,78,125,45,45,45,45,4,6,6,6,4,4,4,4,2,0.242,0.242,0.129,0.474,0.474,0.474,0.474,3.582,1.87,1.87,11.3,3.12,3.12,3.12,3.12,0.534,3.3,3.3,1.8,1.1,1.1,1.1,1.1,2.1,3.8939,3.8939,7.4167,11.8138,11.8138,11.8138,11.8138,5.3917,132.905,132.905,207.2,79.904,79.904,79.904,79.904,6.941,301.7,301.7,600.75,266.05,266.05,266.05,266.05,453.85,-8842.112292,-9045.746155,-200.0479,0
19,19,82,9,9,9,9,19,20,20,125,10,10,10,10,20,4,4,6,2,2,2,2,4,0.757,0.757,0.129,0.824,0.824,0.824,0.824,0.757,0.862,0.862,11.3,0.0017,0.0017,0.0017,0.0017,0.862,2.8,2.8,1.8,0.57,0.57,0.57,0.57,2.8,4.3407,4.3407,7.4167,17.4228,17.4228,17.4228,17.4228,4.3407,39.098,39.098,207.2,18.998,18.998,18.998,18.998,39.098,336.5,336.5,600.75,53.63,53.63,53.63,53.63,336.5,-9661.038478,-10454.97452,-790.3531,0
37,37,50,18,18,53,53,3,48,48,69,18,18,74,74,4,5,5,5,3,3,5,5,2,0.363,0.363,0.228,0.479,0.479,0.214,0.214,3.582,1.53,1.53,7.29,0.00321,0.00321,4.93,4.93,0.534,3,3,1.7,0.97,0.97,1.3,1.3,2.1,4.1771,4.1771,7.3439,12.9676,12.9676,10.4513,10.4513,5.3917,85.468,85.468,118.71,35.453,35.453,126.904,126.904,6.941,312.79,312.79,505.21,266.05,266.05,386.65,386.65,453.85,-5874.601158,-6078.223768,-200.0479,0
3,3,50,18,18,18,18,3,4,4,69,18,18,18,18,4,2,2,5,3,3,3,3,2,3.582,3.582,0.228,0.479,0.479,0.479,0.479,3.582,0.534,0.534,7.29,0.00321,0.00321,0.00321,0.00321,0.534,2.1,2.1,1.7,0.97,0.97,0.97,0.97,2.1,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,12.9676,5.3917,6.941,6.941,118.71,35.453,35.453,35.453,35.453,6.941,453.85,453.85,505.21,172.31,172.31,172.31,172.31,453.85,-4149.964295,-4353.582823,-200.0479,0
19,19,32,53,53,53,53,3,20,20,41,74,74,74,74,4,4,4,4,5,5,5,5,2,0.757,0.757,0.32,0.214,0.214,0.214,0.214,3.582,0.862,0.862,5.32,4.93,4.93,4.93,4.93,0.534,2.8,2.8,1.5,1.3,1.3,1.3,1.3,2.1,4.3407,4.3407,7.8994,10.4513,10.4513,10.4513,10.4513,5.3917,39.098,39.098,72.64,126.904,126.904,126.904,126.904,6.941,336.5,336.5,1211.45,386.65,386.65,386.65,386.65,453.85,-7311.272416,-7514.890359,-200.0479,0
37,37,32,9,9,9,9,11,48,48,41,10,10,10,10,12,5,5,4,2,2,2,2,3,0.363,0.363,0.32,0.824,0.824,0.824,0.824,1.228,1.53,1.53,5.32,0.0017,0.0017,0.0017,0.0017,0.971,3,3,1.5,0.57,0.57,0.57,0.57,2.2,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,17.4228,5.1391,85.468,85.468,72.64,18.998,18.998,18.998,18.998,22.99,312.79,312.79,1211.45,53.63,53.63,53.63,53.63,371.15,-6567.604186,-7875.353385,-1304.181,0
55,55,32,9,9,9,9,11,78,78,41,10,10,10,10,12,6,6,4,2,2,2,2,3,0.242,0.242,0.32,0.824,0.824,0.824,0.824,1.228,1.87,1.87,5.32,0.0017,0.0017,0.0017,0.0017,0.971,3.3,3.3,1.5,0.57,0.57,0.57,0.57,2.2,3.8939,3.8939,7.8994,17.4228,17.4228,17.4228,17.4228,5.1391,132.905,132.905,72.64,18.998,18.998,18.998,18.998,22.99,301.7,301.7,1211.45,53.63,53.63,53.63,53.63,371.15,-6737.099574,-8044.846095,-1304.181,0
11,11,50,18,18,18,18,3,12,12,69,18,18,18,18,4,3,3,5,3,3,3,3,2,1.228,1.228,0.228,0.479,0.479,0.479,0.479,3.582,0.971,0.971,7.29,0.00321,0.00321,0.00321,0.00321,0.534,2.2,2.2,1.7,0.97,0.97,0.97,0.97,2.1,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,12.9676,5.3917,22.99,22.99,118.71,35.453,35.453,35.453,35.453,6.941,371.15,371.15,505.21,172.31,172.31,172.31,172.31,453.85,-6355.65018,-6559.25652,-200.0479,0
55,55,82,53,53,53,18,19,78,78,125,74,74,74,18,20,6,6,6,5,5,5,3,4,0.242,0.242,0.129,0.214,0.214,0.214,0.479,0.757,1.87,1.87,11.3,4.93,4.93,4.93,0.00321,0.862,3.3,3.3,1.8,1.3,1.3,1.3,0.97,2.8,3.8939,3.8939,7.4167,10.4513,10.4513,10.4513,12.9676,4.3407,132.905,132.905,207.2,126.904,126.904,126.904,35.453,39.098,301.7,301.7,600.75,386.65,386.65,386.65,172.31,336.5,-9797.945739,-10591.84172,-790.3531,0
19,19,82,53,53,53,53,9,20,20,125,74,74,74,74,10,4,4,6,5,5,5,5,2,0.757,0.757,0.129,0.214,0.214,0.214,0.214,0.824,0.862,0.862,11.3,4.93,4.93,4.93,4.93,0.0017,2.8,2.8,1.8,1.3,1.3,1.3,1.3,0.57,4.3407,4.3407,7.4167,10.4513,10.4513,10.4513,10.4513,17.4228,39.098,39.098,207.2,126.904,126.904,126.904,126.904,18.998,336.5,336.5,600.75,386.65,386.65,386.65,386.65,53.63,-10203.06356,-10863.35937,-656.7593,0
55,55,50,35,35,35,35,9,78,78,69,45,45,45,45,10,6,6,5,4,4,4,4,2,0.242,0.242,0.228,0.474,0.474,0.474,0.474,0.824,1.87,1.87,7.29,3.12,3.12,3.12,3.12,0.0017,3.3,3.3,1.7,1.1,1.1,1.1,1.1,0.57,3.8939,3.8939,7.3439,11.8138,11.8138,11.8138,11.8138,17.4228,132.905,132.905,118.71,79.904,79.904,79.904,79.904,18.998,301.7,301.7,505.21,266.05,266.05,266.05,266.05,53.63,-5461.108635,-6121.395633,-656.7593,0
3,3,50,53,53,53,53,19,4,4,69,74,74,74,74,20,2,2,5,5,5,5,5,4,3.582,3.582,0.228,0.214,0.214,0.214,0.214,0.757,0.534,0.534,7.29,4.93,4.93,4.93,4.93,0.862,2.1,2.1,1.7,1.3,1.3,1.3,1.3,2.8,5.3917,5.3917,7.3439,10.4513,10.4513,10.4513,10.4513,4.3407,6.941,6.941,118.71,126.904,126.904,126.904,126.904,39.098,453.85,453.85,505.21,386.65,386.65,386.65,386.65,336.5,-5642.303438,-6436.165303,-790.3531,0
3,3,32,53,53,53,53,20,4,4,41,74,74,74,74,20,2,2,4,5,5,5,5,4,3.582,3.582,0.32,0.214,0.214,0.214,0.214,0.647,0.534,0.534,5.32,4.93,4.93,4.93,4.93,1.54,2.1,2.1,1.5,1.3,1.3,1.3,1.3,2.2,5.3917,5.3917,7.8994,10.4513,10.4513,10.4513,10.4513,6.1132,6.941,6.941,72.64,126.904,126.904,126.904,126.904,40.078,453.85,453.85,1211.45,386.65,386.65,386.65,386.65,1112.15,-6131.508999,-7137.350856,-1002.3398,0
19,19,32,9,9,9,9,11,20,20,41,10,10,10,10,12,4,4,4,2,2,2,2,3,0.757,0.757,0.32,0.824,0.824,0.824,0.824,1.228,0.862,0.862,5.32,0.0017,0.0017,0.0017,0.0017,0.971,2.8,2.8,1.5,0.57,0.57,0.57,0.57,2.2,4.3407,4.3407,7.8994,17.4228,17.4228,17.4228,17.4228,5.1391,39.098,39.098,72.64,18.998,18.998,18.998,18.998,22.99,336.5,336.5,1211.45,53.63,53.63,53.63,53.63,371.15,-6768.966846,-8076.643115,-1304.181,0
55,55,32,35,35,35,35,3,78,78,41,45,45,45,45,4,6,6,4,4,4,4,4,2,0.242,0.242,0.32,0.474,0.474,0.474,0.474,3.582,1.87,1.87,5.32,3.12,3.12,3.12,3.12,0.534,3.3,3.3,1.5,1.1,1.1,1.1,1.1,2.1,3.8939,3.8939,7.8994,11.8138,11.8138,11.8138,11.8138,5.3917,132.905,132.905,72.64,79.904,79.904,79.904,79.904,6.941,301.7,301.7,1211.45,266.05,266.05,266.05,266.05,453.85,-5949.968748,-6153.508036,-200.0479,0
11,11,82,18,18,18,18,20,12,12,125,18,18,18,18,20,3,3,6,3,3,3,3,4,1.228,1.228,0.129,0.479,0.479,0.479,0.479,0.647,0.971,0.971,11.3,0.00321,0.00321,0.00321,0.00321,1.54,2.2,2.2,1.8,0.97,0.97,0.97,0.97,2.2,5.1391,5.1391,7.4167,12.9676,12.9676,12.9676,12.9676,6.1132,22.99,22.99,207.2,35.453,35.453,35.453,35.453,40.078,371.15,371.15,600.75,172.31,172.31,172.31,172.31,1112.15,-9736.743457,-10742.565,-1002.3398,0
3,3,82,35,35,35,35,20,4,4,125,45,45,45,45,20,2,2,6,4,4,4,4,4,3.582,3.582,0.129,0.474,0.474,0.474,0.474,0.647,0.534,0.534,11.3,3.12,3.12,3.12,3.12,1.54,2.1,2.1,1.8,1.1,1.1,1.1,1.1,2.2,5.3917,5.3917,7.4167,11.8138,11.8138,11.8138,11.8138,6.1132,6.941,6.941,207.2,79.904,79.904,79.904,79.904,40.078,453.85,453.85,600.75,266.05,266.05,266.05,266.05,1112.15,-7694.23077,-8700.051778,-1002.3398,0
37,37,32,18,18,18,18,20,48,48,41,18,18,18,18,20,5,5,4,3,3,3,3,4,0.363,0.363,0.32,0.479,0.479,0.479,0.479,0.647,1.53,1.53,5.32,0.00321,0.00321,0.00321,0.00321,1.54,3,3,1.5,0.97,0.97,0.97,0.97,2.2,4.1771,4.1771,7.8994,12.9676,12.9676,12.9676,12.9676,6.1132,85.468,85.468,72.64,35.453,35.453,35.453,35.453,40.078,312.79,312.79,1211.45,172.31,172.31,172.31,172.31,1112.15,-5617.54622,-6623.355641,-1002.3398,0
55,55,32,18,18,18,18,3,78,78,41,18,18,18,18,4,6,6,4,3,3,3,3,2,0.242,0.242,0.32,0.479,0.479,0.479,0.479,3.582,1.87,1.87,5.32,0.00321,0.00321,0.00321,0.00321,0.534,3.3,3.3,1.5,0.97,0.97,0.97,0.97,2.1,3.8939,3.8939,7.8994,12.9676,12.9676,12.9676,12.9676,5.3917,132.905,132.905,72.64,35.453,35.453,35.453,35.453,6.941,301.7,301.7,1211.45,172.31,172.31,172.31,172.31,453.85,-5786.899021,-5990.416042,-200.0479,0
37,55,82,53,53,53,53,19,48,78,125,74,74,74,74,20,5,6,6,5,5,5,5,4,0.363,0.242,0.129,0.214,0.214,0.214,0.214,0.757,1.53,1.87,11.3,4.93,4.93,4.93,4.93,0.862,3,3.3,1.8,1.3,1.3,1.3,1.3,2.8,4.1771,3.8939,7.4167,10.4513,10.4513,10.4513,10.4513,4.3407,85.468,132.905,207.2,126.904,126.904,126.904,126.904,39.098,312.79,301.7,600.75,386.65,386.65,386.65,386.65,336.5,-10086.33636,-10880.14212,-790.3531,0
3,3,50,18,18,18,18,20,4,4,69,18,18,18,18,20,2,2,5,3,3,3,3,4,3.582,3.582,0.228,0.479,0.479,0.479,0.479,0.647,0.534,0.534,7.29,0.00321,0.00321,0.00321,0.00321,1.54,2.1,2.1,1.7,0.97,0.97,0.97,0.97,2.2,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,12.9676,6.1132,6.941,6.941,118.71,35.453,35.453,35.453,35.453,40.078,453.85,453.85,505.21,172.31,172.31,172.31,172.31,1112.15,-4149.964295,-5155.756431,-1002.3398,0
