A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,A2 Number of Shells,B Number of Shells,X1 Number of Shells,X2 Number of Shells,X3 Number of Shells,X4 Number of Shells,Ion Number of Shells,A1 Specific Heat,A2 Specific Heat,B Specific Heat,X1 Specific Heat,X2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,Ion Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstlonization,A2 Firstlonization,B Firstlonization,X1 Firstlonization,X2 Firstlonization,X3 Firstlonization,X4 Firstlonization,Ion Firstlonization,A1 AtomicMass,A2  AtomicMass,B  AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,B Melting Point,X1 Melting Point,X2 Melting Point,X3 Melting Point,X4 Melting Point,Ion Melting Point,Without ion Final Energy(ev),With ion Final Energy(ev),Ion Energy(ev),Adsorption energy(ev)
3,3,82,35,35,35,53,9,4,4,125,45,45,45,74,10,2,2,6,4,4,4,5,2,3.582,3.582,0.129,0.474,0.474,0.474,0.214,0.824,0.534,0.534,11.3,3.12,3.12,3.12,4.93,0.0017,2.1,2.1,1.8,1.1,1.1,1.1,1.3,0.57,5.3917,5.3917,7.4167,11.8138,11.8138,11.8138,10.4513,17.4228,6.941,6.941,207.2,79.904,79.904,79.904,126.904,18.998,453.85,453.85,600.75,266.05,266.05,266.05,386.65,53.63,-8026.537709,-8690.574936,-656.7593,0
3,3,32,9,9,9,18,3,4,4,41,10,10,10,18,4,2,2,4,2,2,2,3,2,3.582,3.582,0.32,0.824,0.824,0.824,0.479,3.582,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.00321,0.534,2.1,2.1,1.5,0.57,0.57,0.57,0.97,2.1,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,12.9676,5.3917,6.941,6.941,72.64,18.998,18.998,18.998,35.453,6.941,453.85,453.85,1211.45,53.63,53.63,53.63,172.31,453.85,-5350.647037,-5557.962455,-200.0479,0
37,37,82,9,9,9,9,9,48,48,125,10,10,10,10,10,5,5,6,2,2,2,2,2,0.363,0.363,0.129,0.824,0.824,0.824,0.824,0.824,1.53,1.53,11.3,0.0017,0.0017,0.0017,0.0017,0.0017,3,3,1.8,0.57,0.57,0.57,0.57,0.57,4.1771,4.1771,7.4167,17.4228,17.4228,17.4228,17.4228,17.4228,85.468,85.468,207.2,18.998,18.998,18.998,18.998,18.998,312.79,312.79,600.75,53.63,53.63,53.63,53.63,53.63,-9459.697537,-10123.55935,-656.7593,0
11,11,50,18,18,18,18,9,12,12,69,18,18,18,18,10,3,3,5,3,3,3,3,2,1.228,1.228,0.228,0.479,0.479,0.479,0.479,0.824,0.971,0.971,7.29,0.00321,0.00321,0.00321,0.00321,0.0017,2.2,2.2,1.7,0.97,0.97,0.97,0.97,0.57,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,12.9676,17.4228,22.99,22.99,118.71,35.453,35.453,35.453,35.453,18.998,371.15,371.15,505.21,172.31,172.31,172.31,172.31,53.63,-6355.65018,-7019.44329,-656.7593,0
3,3,32,9,9,9,9,3,4,4,41,10,10,10,10,4,2,2,4,2,2,2,2,2,3.582,3.582,0.32,0.824,0.824,0.824,0.824,3.582,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.0017,0.534,2.1,2.1,1.5,0.57,0.57,0.57,0.57,2.1,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,17.4228,5.3917,6.941,6.941,72.64,18.998,18.998,18.998,18.998,6.941,453.85,453.85,1211.45,53.63,53.63,53.63,53.63,453.85,-5587.936867,-5794.989672,-200.0479,0
55,55,50,9,9,9,9,9,78,78,69,10,10,10,10,10,6,6,5,2,2,2,2,2,0.242,0.242,0.228,0.824,0.824,0.824,0.824,0.824,1.87,1.87,7.29,0.0017,0.0017,0.0017,0.0017,0.0017,3.3,3.3,1.7,0.57,0.57,0.57,0.57,0.57,3.8939,3.8939,7.3439,17.4228,17.4228,17.4228,17.4228,17.4228,132.905,132.905,118.71,18.998,18.998,18.998,18.998,18.998,301.7,301.7,505.21,53.63,53.63,53.63,53.63,53.63,-6248.282588,-6912.032369,-656.7593,0
11,11,32,18,18,18,18,9,12,12,41,18,18,18,18,10,3,3,4,3,3,3,3,2,1.228,1.228,0.32,0.479,0.479,0.479,0.479,0.824,0.971,0.971,5.32,0.00321,0.00321,0.00321,0.00321,0.0017,2.2,2.2,1.5,0.97,0.97,0.97,0.97,0.57,5.1391,5.1391,7.8994,12.9676,12.9676,12.9676,12.9676,17.4228,22.99,22.99,72.64,35.453,35.453,35.453,35.453,18.998,371.15,371.15,1211.45,172.31,172.31,172.31,172.31,53.63,-6844.478788,-7508.066813,-656.7593,0
3,3,50,53,53,53,53,9,4,4,69,74,74,74,74,10,2,2,5,5,5,5,5,2,3.582,3.582,0.228,0.214,0.214,0.214,0.214,0.824,0.534,0.534,7.29,4.93,4.93,4.93,4.93,0.0017,2.1,2.1,1.7,1.3,1.3,1.3,1.3,0.57,5.3917,5.3917,7.3439,10.4513,10.4513,10.4513,10.4513,17.4228,6.941,6.941,118.71,126.904,126.904,126.904,126.904,18.998,453.85,453.85,505.21,386.65,386.65,386.65,386.65,53.63,-5642.303438,-6305.829521,-656.7593,0
3,3,82,18,18,18,18,9,4,4,125,18,18,18,18,10,2,2,6,3,3,3,3,2,3.582,3.582,0.129,0.479,0.479,0.479,0.479,0.824,0.534,0.534,11.3,0.00321,0.00321,0.00321,0.00321,0.0017,2.1,2.1,1.8,0.97,0.97,0.97,0.97,0.57,5.3917,5.3917,7.4167,12.9676,12.9676,12.9676,12.9676,17.4228,6.941,6.941,207.2,35.453,35.453,35.453,35.453,18.998,453.85,453.85,600.75,172.31,172.31,172.31,172.31,53.63,-7533.576049,-8197.091209,-656.7593,0
3,3,50,18,18,18,18,9,4,4,69,18,18,18,18,10,2,2,5,3,3,3,3,2,3.582,3.582,0.228,0.479,0.479,0.479,0.479,0.824,0.534,0.534,7.29,0.00321,0.00321,0.00321,0.00321,0.0017,2.1,2.1,1.7,0.97,0.97,0.97,0.97,0.57,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,12.9676,17.4228,6.941,6.941,118.71,35.453,35.453,35.453,35.453,18.998,453.85,453.85,505.21,172.31,172.31,172.31,172.31,53.63,-4149.964295,-4813.46125,-656.7593,0
