,A1 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,X3 Number of Shells,A1 Specific Heat,A2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A2 Density,X2 Density,Ion Density,A1 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstlonization,A2 Firstlonization,X3 Firstlonization,X4 Firstlonization,Ion Firstlonization,A2  AtomicMass,B  AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,X1 Melting Point,X3 Melting Point,Ion Melting Point,Without ion Final Energy(ev),With ion Final Energy(ev),Ion Energy(ev),8,16,52,Adsorption energy(ev)
53,11,9,9,20,12,10,20,3,2,1.228,1.228,0.824,0.824,0.647,0.971,0.0017,1.54,2.2,0.57,2.2,5.1391,5.1391,17.4228,17.4228,6.1132,22.99,118.71,18.998,40.078,371.15,371.15,53.63,53.63,1112.15,-7305.485436,-8310.728009,-1002.3398,0.571428571,0.0,0.0,-2.902772482
54,11,9,9,12,12,10,12,3,2,1.228,1.228,0.824,0.824,1.023,0.971,0.0017,1.74,2.2,0.57,1.7,5.1391,5.1391,17.4228,17.4228,7.6462,22.99,118.71,18.998,24.305,371.15,371.15,53.63,53.63,923.15,-7305.485436,-8992.797423,-1688.2915,0.571428571,0.0,0.0,0.979513292
55,11,9,9,9,12,10,10,3,2,1.228,1.228,0.824,0.824,0.824,0.971,0.0017,0.0017,2.2,0.57,0.57,5.1391,5.1391,17.4228,17.4228,17.4228,22.99,118.71,18.998,18.998,371.15,371.15,53.63,53.63,53.63,-7305.485436,-7972.981997,-656.7593,0.571428571,0.0,0.0,-10.73726054
56,19,9,9,3,20,10,4,4,2,0.757,0.757,0.824,0.824,3.582,0.862,0.0017,0.534,2.8,0.57,2.1,4.3407,4.3407,17.4228,17.4228,5.3917,39.098,118.71,18.998,6.941,336.5,336.5,53.63,53.63,453.85,-6280.142927,-6485.025936,-200.0479,0.571428571,0.0,0.0,-4.835109209
57,19,9,9,30,20,10,35,4,2,0.757,0.757,0.824,0.824,0.388,0.862,0.0017,7.13,2.8,0.57,1.5,4.3407,4.3407,17.4228,17.4228,9.3942,39.098,118.71,18.998,65.38,336.5,336.5,53.63,53.63,692.88,-6280.142927,-8313.733366,-2035.5843,0.571428571,0.0,0.0,1.993860755
58,19,9,9,19,20,10,20,4,2,0.757,0.757,0.824,0.824,0.757,0.862,0.0017,0.862,2.8,0.57,2.8,4.3407,4.3407,17.4228,17.4228,4.3407,39.098,118.71,18.998,39.098,336.5,336.5,53.63,53.63,336.5,-6280.142927,-7074.55528,-790.3531,0.571428571,0.0,0.0,-4.0592526
59,19,9,9,11,20,10,12,4,2,0.757,0.757,0.824,0.824,1.228,0.862,0.0017,0.971,2.8,0.57,2.2,4.3407,4.3407,17.4228,17.4228,5.1391,39.098,118.71,18.998,22.99,336.5,336.5,53.63,53.63,371.15,-6280.142927,-7587.454538,-1304.181,0.571428571,0.0,0.0,-3.130610528
60,19,9,9,13,20,10,14,4,2,0.757,0.757,0.824,0.824,0.897,0.862,0.0017,2.7,2.8,0.57,1.8,4.3407,4.3407,17.4228,17.4228,5.9858,39.098,118.71,18.998,26.982,336.5,336.5,53.63,53.63,933.4,-6280.142927,-6385.529313,-107.1302,0.571428571,0.0,0.0,1.743814447
61,19,9,9,20,20,10,20,4,2,0.757,0.757,0.824,0.824,0.647,0.862,0.0017,1.54,2.8,0.57,2.2,4.3407,4.3407,17.4228,17.4228,6.1132,39.098,118.71,18.998,40.078,336.5,336.5,53.63,53.63,1112.15,-6280.142927,-7287.531589,-1002.3398,0.571428571,0.0,0.0,-5.048862204
62,19,9,9,12,20,10,12,4,2,0.757,0.757,0.824,0.824,1.023,0.862,0.0017,1.74,2.8,0.57,1.7,4.3407,4.3407,17.4228,17.4228,7.6462,39.098,118.71,18.998,24.305,336.5,336.5,53.63,53.63,923.15,-6280.142927,-7967.614716,-1688.2915,0.571428571,0.0,0.0,0.819711006
