,A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,A2 Number of Shells,B Number of Shells,X1 Number of Shells,X2 Number of Shells,X3 Number of Shells,X4 Number of Shells,Ion Number of Shells,A1 Specific Heat,A2 Specific Heat,B Specific Heat,X1 Specific Heat,X2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,Ion Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstlonization,A2 Firstlonization,B Firstlonization,X1 Firstlonization,X2 Firstlonization,X3 Firstlonization,X4 Firstlonization,Ion Firstlonization,A1 AtomicMass,A2  AtomicMass,B  AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,B Melting Point,X1 Melting Point,X2 Melting Point,X3 Melting Point,X4 Melting Point,Ion Melting Point
488,11,19,32,18,18,18,18,3,12,20,41,18,18,18,18,4,3,4,4,3,3,3,3,2,1.228,0.757,0.32,0.479,0.479,0.479,0.479,3.582,0.971,0.862,5.32,0.00321,0.00321,0.00321,0.00321,0.534,2.2,2.8,1.5,0.97,0.97,0.97,0.97,2.1,5.1391,4.3407,7.8994,12.9676,12.9676,12.9676,12.9676,5.3917,22.99,39.098,72.64,35.453,35.453,35.453,35.453,6.941,371.15,336.5,1211.45,172.31,172.31,172.31,172.31,453.85
489,11,19,32,18,18,18,18,30,12,20,41,18,18,18,18,35,3,4,4,3,3,3,3,4,1.228,0.757,0.32,0.479,0.479,0.479,0.479,0.388,0.971,0.862,5.32,0.00321,0.00321,0.00321,0.00321,7.13,2.2,2.8,1.5,0.97,0.97,0.97,0.97,1.5,5.1391,4.3407,7.8994,12.9676,12.9676,12.9676,12.9676,9.3942,22.99,39.098,72.64,35.453,35.453,35.453,35.453,65.38,371.15,336.5,1211.45,172.31,172.31,172.31,172.31,692.88
490,11,19,32,18,18,18,18,19,12,20,41,18,18,18,18,20,3,4,4,3,3,3,3,4,1.228,0.757,0.32,0.479,0.479,0.479,0.479,0.757,0.971,0.862,5.32,0.00321,0.00321,0.00321,0.00321,0.862,2.2,2.8,1.5,0.97,0.97,0.97,0.97,2.8,5.1391,4.3407,7.8994,12.9676,12.9676,12.9676,12.9676,4.3407,22.99,39.098,72.64,35.453,35.453,35.453,35.453,39.098,371.15,336.5,1211.45,172.31,172.31,172.31,172.31,336.5
491,11,19,32,18,18,18,18,11,12,20,41,18,18,18,18,12,3,4,4,3,3,3,3,3,1.228,0.757,0.32,0.479,0.479,0.479,0.479,1.228,0.971,0.862,5.32,0.00321,0.00321,0.00321,0.00321,0.971,2.2,2.8,1.5,0.97,0.97,0.97,0.97,2.2,5.1391,4.3407,7.8994,12.9676,12.9676,12.9676,12.9676,5.1391,22.99,39.098,72.64,35.453,35.453,35.453,35.453,22.99,371.15,336.5,1211.45,172.31,172.31,172.31,172.31,371.15
492,11,19,32,18,18,18,18,13,12,20,41,18,18,18,18,14,3,4,4,3,3,3,3,3,1.228,0.757,0.32,0.479,0.479,0.479,0.479,0.897,0.971,0.862,5.32,0.00321,0.00321,0.00321,0.00321,2.7,2.2,2.8,1.5,0.97,0.97,0.97,0.97,1.8,5.1391,4.3407,7.8994,12.9676,12.9676,12.9676,12.9676,5.9858,22.99,39.098,72.64,35.453,35.453,35.453,35.453,26.982,371.15,336.5,1211.45,172.31,172.31,172.31,172.31,933.4
493,11,19,32,18,18,18,18,20,12,20,41,18,18,18,18,20,3,4,4,3,3,3,3,4,1.228,0.757,0.32,0.479,0.479,0.479,0.479,0.647,0.971,0.862,5.32,0.00321,0.00321,0.00321,0.00321,1.54,2.2,2.8,1.5,0.97,0.97,0.97,0.97,2.2,5.1391,4.3407,7.8994,12.9676,12.9676,12.9676,12.9676,6.1132,22.99,39.098,72.64,35.453,35.453,35.453,35.453,40.078,371.15,336.5,1211.45,172.31,172.31,172.31,172.31,1112.15
494,11,19,32,18,18,18,18,12,12,20,41,18,18,18,18,12,3,4,4,3,3,3,3,3,1.228,0.757,0.32,0.479,0.479,0.479,0.479,1.023,0.971,0.862,5.32,0.00321,0.00321,0.00321,0.00321,1.74,2.2,2.8,1.5,0.97,0.97,0.97,0.97,1.7,5.1391,4.3407,7.8994,12.9676,12.9676,12.9676,12.9676,7.6462,22.99,39.098,72.64,35.453,35.453,35.453,35.453,24.305,371.15,336.5,1211.45,172.31,172.31,172.31,172.31,923.15
495,11,19,32,18,18,18,18,9,12,20,41,18,18,18,18,10,3,4,4,3,3,3,3,2,1.228,0.757,0.32,0.479,0.479,0.479,0.479,0.824,0.971,0.862,5.32,0.00321,0.00321,0.00321,0.00321,0.0017,2.2,2.8,1.5,0.97,0.97,0.97,0.97,0.57,5.1391,4.3407,7.8994,12.9676,12.9676,12.9676,12.9676,17.4228,22.99,39.098,72.64,35.453,35.453,35.453,35.453,18.998,371.15,336.5,1211.45,172.31,172.31,172.31,172.31,53.63
496,19,55,50,18,18,18,18,3,20,78,69,18,18,18,18,4,4,6,5,3,3,3,3,2,0.757,0.242,0.228,0.479,0.479,0.479,0.479,3.582,0.862,1.87,7.29,0.00321,0.00321,0.00321,0.00321,0.534,2.8,3.3,1.7,0.97,0.97,0.97,0.97,2.1,4.3407,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,5.3917,39.098,132.905,118.71,35.453,35.453,35.453,35.453,6.941,336.5,301.7,505.21,172.31,172.31,172.31,172.31,453.85
497,19,55,50,18,18,18,18,30,20,78,69,18,18,18,18,35,4,6,5,3,3,3,3,4,0.757,0.242,0.228,0.479,0.479,0.479,0.479,0.388,0.862,1.87,7.29,0.00321,0.00321,0.00321,0.00321,7.13,2.8,3.3,1.7,0.97,0.97,0.97,0.97,1.5,4.3407,3.8939,7.3439,12.9676,12.9676,12.9676,12.9676,9.3942,39.098,132.905,118.71,35.453,35.453,35.453,35.453,65.38,336.5,301.7,505.21,172.31,172.31,172.31,172.31,692.88
