,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7
239,167.0,167.0,119,181.0,181.0,181.0,181.0
240,76.0,76.0,73,Br,Br,Br,Br
241,76.0,76.0,73,Br,Br,Br,Br
242,76.0,76.0,73,Br,Br,Br,Br
243,76.0,76.0,73,Br,Br,Br,Br
244,76.0,76.0,73,Br,Br,Br,Br
245,76.0,76.0,73,Br,Br,Br,Br
246,76.0,76.0,73,Br,Br,Br,Br
247,76.0,76.0,73,Br,Br,Br,Br
248,102.0,102.0,73,Br,Br,Br,Br
249,102.0,102.0,73,Br,Br,Br,Br
250,102.0,102.0,73,Br,Br,Br,Br
251,102.0,102.0,73,Br,Br,Br,Br
252,102.0,102.0,73,Br,Br,Br,Br
253,102.0,102.0,73,Br,Br,Br,Br
254,102.0,102.0,73,Br,Br,Br,Br
255,102.0,102.0,73,Br,Br,Br,Br
256,138.0,138.0,73,Br,Br,Br,Br
257,138.0,138.0,73,Br,Br,Br,Br
258,138.0,138.0,73,Br,Br,Br,Br
259,138.0,138.0,73,Br,Br,Br,Br
260,138.0,138.0,73,Br,Br,Br,Br
261,138.0,138.0,73,Br,Br,Br,Br
262,138.0,138.0,73,Br,Br,Br,Br
263,138.0,138.0,73,Br,Br,Br,Br
264,196.0,196.0,73,Br,Br,Br,Br
265,196.0,196.0,73,Br,Br,Br,Br
266,196.0,196.0,73,Br,Br,Br,Br
267,196.0,196.0,73,Br,Br,Br,Br
268,196.0,196.0,73,Br,Br,Br,Br
269,196.0,196.0,73,Br,Br,Br,Br
270,196.0,196.0,73,Br,Br,Br,Br
271,196.0,196.0,73,Br,Br,Br,Br
272,167.0,167.0,73,Br,Br,Br,Br
273,167.0,167.0,73,Br,Br,Br,Br
274,167.0,167.0,73,Br,Br,Br,Br
275,167.0,167.0,73,Br,Br,Br,Br
276,167.0,167.0,73,Br,Br,Br,Br
277,167.0,167.0,73,Br,Br,Br,Br
278,167.0,167.0,73,Br,Br,Br,Br
279,167.0,167.0,73,Br,Br,Br,Br
280,76.0,76.0,112,Br,Br,Br,Br
281,76.0,76.0,112,Br,Br,Br,Br
282,76.0,76.0,112,Br,Br,Br,Br
283,76.0,76.0,112,Br,Br,Br,Br
284,76.0,76.0,112,Br,Br,Br,Br
285,76.0,76.0,112,Br,Br,Br,Br
286,76.0,76.0,112,Br,Br,Br,Br
287,76.0,76.0,112,Br,Br,Br,Br
288,102.0,102.0,112,Br,Br,Br,Br
289,102.0,102.0,112,Br,Br,Br,Br
290,102.0,102.0,112,Br,Br,Br,Br
291,102.0,102.0,112,Br,Br,Br,Br
292,102.0,102.0,112,Br,Br,Br,Br
293,102.0,102.0,112,Br,Br,Br,Br
294,102.0,102.0,112,Br,Br,Br,Br
295,102.0,102.0,112,Br,Br,Br,Br
296,138.0,138.0,112,Br,Br,Br,Br
297,138.0,138.0,112,Br,Br,Br,Br
298,138.0,138.0,112,Br,Br,Br,Br
299,138.0,138.0,112,Br,Br,Br,Br
300,138.0,138.0,112,Br,Br,Br,Br
301,138.0,138.0,112,Br,Br,Br,Br
302,138.0,138.0,112,Br,Br,Br,Br
303,138.0,138.0,112,Br,Br,Br,Br
304,196.0,196.0,112,Br,Br,Br,Br
305,196.0,196.0,112,Br,Br,Br,Br
306,196.0,196.0,112,Br,Br,Br,Br
307,196.0,196.0,112,Br,Br,Br,Br
308,196.0,196.0,112,Br,Br,Br,Br
309,196.0,196.0,112,Br,Br,Br,Br
310,196.0,196.0,112,Br,Br,Br,Br
311,196.0,196.0,112,Br,Br,Br,Br
312,167.0,167.0,112,Br,Br,Br,Br
313,167.0,167.0,112,Br,Br,Br,Br
314,167.0,167.0,112,Br,Br,Br,Br
315,167.0,167.0,112,Br,Br,Br,Br
316,167.0,167.0,112,Br,Br,Br,Br
317,167.0,167.0,112,Br,Br,Br,Br
318,167.0,167.0,112,Br,Br,Br,Br
319,167.0,167.0,112,Br,Br,Br,Br
320,76.0,76.0,119,Br,Br,Br,Br
321,76.0,76.0,119,Br,Br,Br,Br
322,76.0,76.0,119,Br,Br,Br,Br
323,76.0,76.0,119,Br,Br,Br,Br
324,76.0,76.0,119,Br,Br,Br,Br
325,76.0,76.0,119,Br,Br,Br,Br
326,76.0,76.0,119,Br,Br,Br,Br
327,76.0,76.0,119,Br,Br,Br,Br
328,102.0,102.0,119,Br,Br,Br,Br
329,102.0,102.0,119,Br,Br,Br,Br
330,102.0,102.0,119,Br,Br,Br,Br
331,102.0,102.0,119,Br,Br,Br,Br
332,102.0,102.0,119,Br,Br,Br,Br
333,102.0,102.0,119,Br,Br,Br,Br
334,102.0,102.0,119,Br,Br,Br,Br
335,102.0,102.0,119,Br,Br,Br,Br
336,138.0,138.0,119,Br,Br,Br,Br
