,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,Ion NumberofNeutrons,Ion Specific Heat,Ion Density,Ion AtomicRadius,Ion Firstlonization,Ion AtomicMass,Ion Melting Point,Adsorption energy(ev)
237,18.57142857,65.71428571,39.50572418,9.466935948,372.1714286,239.7795918,3.285714286,128.1428571,32.20408163,2.342857143,0.933877551,31.90642857,11.7714966,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
238,52.57142857,67.57142857,127.0253305,26.26711776,362.2771429,89.15755102,5.142857143,164.7142857,45.30612245,2.15,0.777142857,59.02607143,32.4222449,14,0.897,2.7,1.8,5.9858,26.982,933.4,1
239,48.0,67.42857143,113.8947829,16.2439902,382.4857143,40.01469388,5.0,162.1428571,33.06122449,2.034285714,0.715102041,55.25571429,20.26673469,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
240,48.0,67.42857143,114.019692,19.49468113,344.7942857,69.8277551,5.0,163.5714286,45.95918367,2.111428571,0.798367347,58.54357143,32.69795918,14,0.897,2.7,1.8,5.9858,26.982,933.4,1
241,22.28571429,66.0,48.38837143,20.09189388,266.3628571,108.3004082,3.571428571,136.1428571,39.02040816,2.32,0.96,39.64119048,19.12312925,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
242,24.85714286,66.14285714,55.05537143,22.4027102,360.3885714,243.1461224,3.714285714,138.2857143,46.69387755,2.327142857,0.951836735,43.20571429,27.15244898,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
243,22.28571429,65.57142857,51.842,44.388,313.4842857,162.1534694,3.142857143,115.7142857,15.67346939,2.418571429,0.847346939,22.7552381,3.521088435,20,0.757,0.862,2.8,4.3407,39.098,336.5,1
244,38.28571429,66.57142857,91.45855429,48.29574531,422.8371429,41.12816327,4.142857143,135.8571429,4.489795918,2.08,0.662857143,34.07595238,10.21605442,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
245,22.28571429,65.57142857,51.62717326,44.44937907,212.5242857,181.7420408,3.142857143,111.4285714,62.20408163,2.841428571,1.30122449,30.45047619,24.37496599,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
246,27.42857143,66.28571429,61.6368,29.92434286,259.4857143,100.4408163,3.857142857,141.0,45.14285714,2.32,0.96,44.67428571,26.31326531,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
247,17.71428571,65.0,42.43937326,47.07446478,245.9985714,219.9983673,2.571428571,90.0,37.71428571,2.887142857,1.248979592,14.30380952,5.25292517,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
248,32.0,66.42857143,74.27822857,44.3716898,273.1328571,116.037551,4.0,142.0,45.71428571,2.372857143,0.899591837,43.935,26.73571429,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
249,32.57142857,66.57142857,75.19041483,45.41418838,256.38,96.89142857,4.142857143,147.8571429,54.93877551,2.311428571,0.969795918,51.82928571,36.53469388,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
250,50.57142857,67.57142857,120.8669691,13.77913403,480.2828571,208.8906122,5.142857143,166.2857143,44.40816327,2.032857143,0.716734694,60.94214286,31.32734694,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
251,19.71428571,65.85714286,41.80694286,8.809444898,367.2657143,241.1812245,3.428571429,133.4285714,39.75510204,2.327142857,0.951836735,38.17261905,19.96231293,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
252,39.71428571,66.85714286,93.05458571,32.61297551,330.4,78.95428571,4.428571429,149.8571429,35.2244898,2.258571429,0.822040816,44.26559524,21.51370748,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
253,28.0,66.0,64.60114286,32.94865306,353.6657143,100.4179592,3.571428571,125.0,5.714285714,2.251428571,0.809795918,26.34166667,5.57047619,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
254,24.0,65.85714286,54.35354423,30.3044066,323.2314286,253.762449,3.428571429,121.5714286,56.24489796,2.65,1.228571429,37.57892857,30.3677551,20,0.757,0.862,2.8,4.3407,39.098,336.5,1
255,17.42857143,65.57142857,37.20450551,10.124427,377.0771429,238.3779592,3.142857143,122.8571429,24.65306122,2.358571429,0.915918367,25.6402381,2.058911565,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
256,50.57142857,67.57142857,120.8669691,13.77913403,480.2828571,208.8906122,5.142857143,166.2857143,44.40816327,2.032857143,0.716734694,60.94214286,31.32734694,14,0.897,2.7,1.8,5.9858,26.982,933.4,1
257,32.57142857,66.57142857,73.78894286,19.82322449,320.1914286,62.16163265,4.142857143,146.4285714,32.32653061,2.205714286,0.862040816,42.48833333,17.49619048,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
258,37.71428571,66.85714286,87.03737143,9.049322449,313.3142857,54.79020408,4.428571429,151.2857143,39.26530612,2.205714286,0.862040816,47.52142857,24.68632653,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
259,52.57142857,67.57142857,126.5362114,23.46766367,396.1328571,58.42204082,5.142857143,163.1428571,32.48979592,2.087142857,0.724081633,54.51642857,20.68918367,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
260,37.14285714,66.71428571,87.8318434,59.86153531,270.0271429,112.4881633,4.285714286,148.8571429,54.36734694,2.364285714,0.909387755,51.09,36.95714286,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
261,17.42857143,65.57142857,37.10562949,11.29134616,333.5228571,252.5404082,3.142857143,120.5714286,47.10204082,2.561428571,1.152653061,33.94690476,22.3770068,20,0.647,1.54,2.2,6.1132,40.078,1112.15,1
262,30.0,66.42857143,68.60898626,37.89255572,357.2828571,244.0334694,4.0,145.1428571,56.48979592,2.318571429,0.961632653,50.36071429,37.37387755,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
263,35.14285714,66.71428571,80.45594286,2.863918367,414.2171429,227.7665306,4.285714286,148.5714286,40.81632653,2.212857143,0.853877551,46.05285714,25.5255102,12,1.228,0.971,2.2,5.1391,22.99,371.15,1
264,52.57142857,67.57142857,127.0253305,26.26711776,362.2771429,89.15755102,5.142857143,164.7142857,45.30612245,2.15,0.777142857,59.02607143,32.4222449,12,1.023,1.74,1.7,7.6462,24.305,923.15,1
265,55.14285714,67.71428571,133.3130188,21.11056604,394.58,58.86571429,5.285714286,166.5714286,37.3877551,2.082857143,0.730204082,58.09392857,25.79989796,14,0.897,2.7,1.8,5.9858,26.982,933.4,1
