Name,Ion,Adsorption energy(ev)
KKSnClClClCl,Na+,-1.426904805
KKSnClClClCl,Al3+,1.809931352
KKSnClClClCl,Ca2+,-3.170026684
KKSnClClClCl,Mg2+,0.894924069
KKSnClClClCl,F-,-5.069294203
RbRbSnClClClCl,Li+,-3.106747692
RbRbSnClClClCl,Zn2+,2.474567052
RbRbSnClClClCl,K+,-2.267498176
RbRbSnClClClCl,Na+,-1.543364145
RbRbSnClClClCl,Al3+,1.130804147
RbRbSnClClClCl,Ca2+,-3.659855029
RbRbSnClClClCl,Mg2+,0.500923551
RbRbSnClClClCl,F-,-4.555662785
CsCsSnClClClCl,Li+,-3.395961453
CsCsSnClClClCl,Zn2+,1.787664027
CsCsSnClClClCl,K+,-2.523215937
CsCsSnClClClCl,Na+,-1.573896919
CsCsSnClClClCl,Al3+,0.082758158
CsCsSnClClClCl,Ca2+,-4.300815756
CsCsSnClClClCl,Mg2+,-0.097658479
CsCsSnClClClCl,F-,-3.962963901
LiLiPbClClClCl,Li+,-1.978120767
LiLiPbClClClCl,Zn2+,5.543178348
LiLiPbClClClCl,K+,-1.4576378
LiLiPbClClClCl,Na+,-0.404929894
LiLiPbClClClCl,Al3+,7.616963496
LiLiPbClClClCl,Ca2+,-0.967100768
LiLiPbClClClCl,Mg2+,3.664241832
LiLiPbClClClCl,F-,-6.75585978
NaNaPbClClClCl,Li+,-3.011189235
NaNaPbClClClCl,Zn2+,2.722065432
NaNaPbClClClCl,K+,-3.294370308
NaNaPbClClClCl,Na+,-1.850283128
NaNaPbClClClCl,Al3+,4.651654694
NaNaPbClClClCl,Ca2+,-3.481745878
NaNaPbClClClCl,Mg2+,0.468407502
NaNaPbClClClCl,F-,-6.276497898
KKPbClClClCl,Li+,-2.910459046
KKPbClClClCl,Zn2+,2.936111627
KKPbClClClCl,K+,-2.114829393
KKPbClClClCl,Na+,-1.347507933
KKPbClClClCl,Al3+,3.924587789
KKPbClClClCl,Ca2+,-3.353913902
KKPbClClClCl,Mg2+,-0.990926443
KKPbClClClCl,F-,-4.543557333
RbRbPbClClClCl,Li+,-3.363021842
RbRbPbClClClCl,Zn2+,2.22468734
RbRbPbClClClCl,K+,-2.448464564
RbRbPbClClClCl,Na+,-1.57032086
RbRbPbClClClCl,Al3+,3.241874057
RbRbPbClClClCl,Ca2+,-4.034188503
RbRbPbClClClCl,Mg2+,0.27227112
