,id,atomic_number,n,s,screening
288,289,46,4,s,27.014
289,290,47,1,s,0.9577000000000027
290,291,47,2,p,4.080599999999997
291,292,47,2,s,12.3658
292,293,47,3,d,14.4602
293,294,47,3,p,17.1914
294,295,47,3,s,16.968799999999998
295,296,47,4,d,32.2372
296,297,47,4,p,28.4376
297,298,47,4,s,27.1352
298,299,47,5,s,40.2445
299,300,48,1,s,0.9744000000000028
300,301,48,2,p,4.091000000000001
301,302,48,2,s,12.614199999999997
302,303,48,3,d,14.393100000000004
303,304,48,3,p,17.308500000000002
304,305,48,3,s,17.1588
305,306,48,4,d,32.1232
306,307,48,4,p,28.5888
307,308,48,4,s,27.1308
308,309,48,5,s,39.808
309,310,49,1,s,0.9902999999999977
310,311,49,2,p,4.101999999999997
311,312,49,2,s,12.876399999999997
312,313,49,3,d,14.321799999999996
313,314,49,3,p,17.479300000000002
314,315,49,3,s,17.3692
315,316,49,4,d,32.0584
316,317,49,4,p,28.6312
317,318,49,4,s,27.2388
318,319,49,5,p,40.53
319,320,49,5,s,39.4885
320,321,50,1,s,1.0080000000000027
321,322,50,2,p,4.114600000000003
322,323,50,2,s,13.1406
323,324,50,3,d,14.258299999999998
324,325,50,3,p,17.6468
325,326,50,3,s,17.580200000000005
326,327,50,4,d,32.03
327,328,50,4,p,28.7348
328,329,50,4,s,27.342
329,330,50,5,p,40.897999999999996
330,331,50,5,s,39.3715
331,332,51,1,s,1.0255999999999972
332,333,51,2,p,4.1274000000000015
333,334,51,2,s,13.404600000000002
334,335,51,3,d,14.200199999999995
335,336,51,3,p,17.816100000000006
336,337,51,3,s,17.7909
337,338,51,4,d,32.0256
338,339,51,4,p,28.8188
339,340,51,4,s,27.4564
340,341,51,5,p,41.0055
341,342,51,5,s,39.388999999999996
342,343,52,1,s,1.0431999999999988
343,344,52,2,p,4.140000000000001
344,345,52,2,s,13.668799999999997
345,346,52,3,d,14.160700000000006
346,347,52,3,p,17.991100000000003
347,348,52,3,s,18.0019
348,349,52,4,d,32.04
349,350,52,4,p,28.878
350,351,52,4,s,27.5916
351,352,52,5,p,41.1915
352,353,52,5,s,39.462
353,354,53,1,s,1.0608999999999966
354,355,53,2,p,4.1526
355,356,53,2,s,13.933
356,357,53,3,d,14.0993
357,358,53,3,p,18.1586
358,359,53,3,s,18.212599999999995
359,360,53,4,d,32.066
360,361,53,4,p,28.9704
361,362,53,4,s,27.7028
362,363,53,5,p,41.3885
363,364,53,5,s,39.5965
364,365,54,1,s,1.0784999999999982
365,366,54,2,p,4.165399999999998
366,367,54,2,s,14.197000000000003
367,368,54,3,d,14.053200000000004
368,369,54,3,p,18.3324
369,370,54,3,s,18.4236
370,371,54,4,d,32.1068
371,372,54,4,p,29.0428
372,373,54,4,s,27.8272
373,374,54,5,p,41.5755
374,375,54,5,s,39.782
375,376,55,1,s,1.0957000000000008
376,377,55,2,p,4.180399999999999
377,378,55,2,s,14.488399999999999
378,379,55,3,d,14.019400000000005
379,380,55,3,p,18.422199999999997
380,381,55,3,s,18.6226
381,382,55,4,d,32.1616
382,383,55,4,p,29.1424
383,384,55,4,s,27.9576
384,385,55,5,p,41.349000000000004
385,386,55,5,s,39.555499999999995
386,387,55,6,s,48.637
387,388,56,1,s,1.113900000000001
388,389,56,2,p,4.190399999999997
389,390,56,2,s,14.7532
390,391,56,3,d,13.975699999999996
391,392,56,3,p,18.6836
392,393,56,3,s,18.8444
393,394,56,4,d,32.216
394,395,56,4,p,29.1968
395,396,56,4,s,28.08
396,397,56,5,p,41.1995
397,398,56,5,s,39.3805
398,399,56,6,s,48.425
399,400,57,1,s,1.1317000000000021
400,401,57,2,p,4.2044
401,402,57,2,s,15.046599999999998
402,403,57,3,d,13.939799999999998
403,404,57,3,p,18.8604
404,405,57,3,s,19.0569
405,406,57,4,d,32.2748
406,407,57,4,f,55.64
407,408,57,4,p,29.2936
408,409,57,4,s,28.2036
409,410,57,5,p,41.104
410,411,57,5,s,39.189
411,412,57,6,s,47.688
412,413,58,1,s,1.1518999999999977
413,414,58,2,p,4.217599999999997
414,415,58,2,s,15.259999999999998
415,416,58,3,d,13.914699999999996
416,417,58,3,p,19.0405
417,418,58,3,s,19.3408
418,419,58,4,d,32.339200000000005
419,420,58,4,f,56.324
420,421,58,4,p,29.3936
421,422,58,4,s,28.32
422,423,58,5,p,41.0345
423,424,58,5,s,39.0865
424,425,58,6,s,47.2036
425,426,59,1,s,1.169400000000003
426,427,59,2,p,4.230600000000003
427,428,59,2,s,15.537999999999997
428,429,59,3,d,13.8476
429,430,59,3,p,19.175599999999996
430,431,59,3,s,19.499000000000002
431,432,59,4,d,32.702799999999996
432,433,59,4,f,37.8992
433,434,59,4,p,29.9432
434,435,59,4,s,28.6668
435,436,59,5,p,43.716499999999996
436,437,59,5,s,41.387
437,438,59,6,s,51.2534
438,439,60,1,s,1.186799999999998
439,440,60,2,p,4.243400000000001
440,441,60,2,s,15.7838
441,442,60,3,d,13.843199999999996
442,443,60,3,p,19.311
443,444,60,3,s,19.657200000000003
444,445,60,4,d,33.190799999999996
445,446,60,4,f,37.734
446,447,60,4,p,29.986
447,448,60,4,s,29.0136
448,449,60,5,p,43.039
449,450,60,5,s,41.2575
450,451,60,6,s,50.6934
451,452,61,1,s,1.2042000000000002
452,453,61,2,p,4.2562
453,454,61,2,s,16.029600000000002
454,455,61,3,d,13.901799999999994
455,456,61,3,p,19.4461
456,457,61,3,s,19.815400000000004
457,458,61,4,d,33.260000000000005
458,459,61,4,f,37.866
459,460,61,4,p,30.3768
460,461,61,4,s,29.3604
461,462,61,5,p,44.586
462,463,61,5,s,42.164500000000004
463,464,61,6,s,51.6046
464,465,62,1,s,1.2216999999999985
465,466,62,2,p,4.268999999999998
