,unstable_Element_1,unstable_Element_2,unstable_Element_3,unstable_Element_4,unstable_Element_5,unstable_Element_6,unstable_Element_7,unstable_ion
570,0.3616813,0.3616813,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.28220642
571,0.3616813,0.3616813,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.3616813
572,0.3616813,0.3616813,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.23554452
573,0.3616813,0.3616813,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.27205002
574,0.3616813,0.3616813,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.28138033
575,0.3616813,0.3616813,0.3053288,0.23384291,0.23384291,0.23384291,0.12309439,0.17255755
576,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.22166106,0.22166106,0.42468417
577,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.22166106,0.22166106,0.28466654
578,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.22166106,0.22166106,0.28220642
579,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.22166106,0.22166106,0.3616813
580,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.22166106,0.22166106,0.23554452
581,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.22166106,0.22166106,0.27205002
582,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.22166106,0.22166106,0.28138033
583,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.22166106,0.22166106,0.17255755
584,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.23384291,0.42468417
585,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.23384291,0.28466654
586,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.23384291,0.28220642
587,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.23384291,0.3616813
588,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.23384291,0.23554452
589,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.23384291,0.27205002
590,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.23384291,0.28138033
591,0.29619506,0.29619506,0.15648787,0.17255755,0.17255755,0.17255755,0.23384291,0.17255755
592,0.28220642,0.28220642,0.28992674,0.23384291,0.23384291,0.12309439,0.22166106,0.42468417
593,0.28220642,0.28220642,0.28992674,0.23384291,0.23384291,0.12309439,0.22166106,0.28466654
594,0.28220642,0.28220642,0.28992674,0.23384291,0.23384291,0.12309439,0.22166106,0.28220642
595,0.28220642,0.28220642,0.28992674,0.23384291,0.23384291,0.12309439,0.22166106,0.3616813
596,0.28220642,0.28220642,0.28992674,0.23384291,0.23384291,0.12309439,0.22166106,0.23554452
597,0.28220642,0.28220642,0.28992674,0.23384291,0.23384291,0.12309439,0.22166106,0.27205002
598,0.28220642,0.28220642,0.28992674,0.23384291,0.23384291,0.12309439,0.22166106,0.28138033
599,0.28220642,0.28220642,0.28992674,0.23384291,0.23384291,0.12309439,0.22166106,0.17255755
600,0.35965994,0.35965994,0.3053288,0.12309439,0.12309439,0.12309439,0.22166106,0.42468417
601,0.35965994,0.35965994,0.3053288,0.12309439,0.12309439,0.12309439,0.22166106,0.28466654
602,0.35965994,0.35965994,0.3053288,0.12309439,0.12309439,0.12309439,0.22166106,0.28220642
603,0.35965994,0.35965994,0.3053288,0.12309439,0.12309439,0.12309439,0.22166106,0.3616813
604,0.35965994,0.35965994,0.3053288,0.12309439,0.12309439,0.12309439,0.22166106,0.23554452
