,rechargeable_A1,rechargeable_A2,rechargeable_B,rechargeable_X1,rechargeable_X2,rechargeable_X3,rechargeable_X4
91,0.2117557,0.2117557,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
92,0.2117557,0.2117557,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
93,0.2117557,0.2117557,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
94,0.2117557,0.2117557,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
95,0.2117557,0.2117557,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
96,0.044375855,0.044375855,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
97,0.044375855,0.044375855,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
98,0.044375855,0.044375855,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
99,0.044375855,0.044375855,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
100,0.044375855,0.044375855,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
101,0.044375855,0.044375855,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
102,0.044375855,0.044375855,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
103,0.044375855,0.044375855,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
104,0.1542425,0.1542425,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
105,0.1542425,0.1542425,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
106,0.1542425,0.1542425,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
107,0.1542425,0.1542425,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
108,0.1542425,0.1542425,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
109,0.1542425,0.1542425,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
110,0.1542425,0.1542425,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
111,0.1542425,0.1542425,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
112,0.1643536,0.1643536,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
113,0.1643536,0.1643536,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
114,0.1643536,0.1643536,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
115,0.1643536,0.1643536,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
116,0.1643536,0.1643536,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
117,0.1643536,0.1643536,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
118,0.1643536,0.1643536,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
119,0.1643536,0.1643536,0.15519792,0.18243991,0.18243991,0.18243991,0.18243991
120,0.46346116,0.46346116,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
121,0.46346116,0.46346116,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
122,0.46346116,0.46346116,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
123,0.46346116,0.46346116,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
124,0.46346116,0.46346116,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
125,0.46346116,0.46346116,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
126,0.46346116,0.46346116,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
127,0.46346116,0.46346116,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
128,0.2117557,0.2117557,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
129,0.2117557,0.2117557,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
130,0.2117557,0.2117557,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
131,0.2117557,0.2117557,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
132,0.2117557,0.2117557,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
133,0.2117557,0.2117557,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
134,0.2117557,0.2117557,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
135,0.2117557,0.2117557,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
136,0.044375855,0.044375855,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
137,0.044375855,0.044375855,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
138,0.044375855,0.044375855,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
139,0.044375855,0.044375855,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
140,0.044375855,0.044375855,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
141,0.044375855,0.044375855,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
142,0.044375855,0.044375855,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
143,0.044375855,0.044375855,0.109965414,0.13950557,0.13950557,0.13950557,0.13950557
