,adsorption_A1,adsorption_A2,adsorption_B,adsorption_X1,adsorption_X2,adsorption_X3,adsorption_X4
55,0.2009516,0.2009516,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
56,0.28071553,0.28071553,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
57,0.28071553,0.28071553,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
58,0.28071553,0.28071553,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
59,0.28071553,0.28071553,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
60,0.28071553,0.28071553,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
61,0.28071553,0.28071553,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
62,0.28071553,0.28071553,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
63,0.28071553,0.28071553,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
64,0.121317625,0.121317625,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
65,0.121317625,0.121317625,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
66,0.121317625,0.121317625,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
67,0.121317625,0.121317625,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
68,0.121317625,0.121317625,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
69,0.121317625,0.121317625,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
70,0.121317625,0.121317625,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
71,0.121317625,0.121317625,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
72,0.30875275,0.30875275,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
73,0.30875275,0.30875275,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
74,0.30875275,0.30875275,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
75,0.30875275,0.30875275,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
76,0.30875275,0.30875275,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
77,0.30875275,0.30875275,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
78,0.30875275,0.30875275,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
79,0.30875275,0.30875275,0.16268677,0.17863989,0.17863989,0.17863989,0.17863989
80,0.19800851,0.19800851,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
81,0.19800851,0.19800851,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
82,0.19800851,0.19800851,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
83,0.19800851,0.19800851,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
84,0.19800851,0.19800851,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
85,0.19800851,0.19800851,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
86,0.19800851,0.19800851,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
87,0.19800851,0.19800851,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
88,0.2009516,0.2009516,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
89,0.2009516,0.2009516,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
90,0.2009516,0.2009516,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
91,0.2009516,0.2009516,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
92,0.2009516,0.2009516,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
93,0.2009516,0.2009516,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
94,0.2009516,0.2009516,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
95,0.2009516,0.2009516,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
96,0.28071553,0.28071553,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
97,0.28071553,0.28071553,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
98,0.28071553,0.28071553,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
99,0.28071553,0.28071553,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
100,0.28071553,0.28071553,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
101,0.28071553,0.28071553,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
102,0.28071553,0.28071553,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
103,0.28071553,0.28071553,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
104,0.121317625,0.121317625,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
105,0.121317625,0.121317625,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
106,0.121317625,0.121317625,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
107,0.121317625,0.121317625,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
108,0.121317625,0.121317625,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
109,0.121317625,0.121317625,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
110,0.121317625,0.121317625,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
111,0.121317625,0.121317625,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
112,0.30875275,0.30875275,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
113,0.30875275,0.30875275,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
114,0.30875275,0.30875275,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
115,0.30875275,0.30875275,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
116,0.30875275,0.30875275,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
117,0.30875275,0.30875275,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
118,0.30875275,0.30875275,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
119,0.30875275,0.30875275,0.28674075,0.17863989,0.17863989,0.17863989,0.17863989
120,0.19800851,0.19800851,0.12433383,0.24290189,0.24290189,0.24290189,0.24290189
121,0.19800851,0.19800851,0.12433383,0.24290189,0.24290189,0.24290189,0.24290189
122,0.19800851,0.19800851,0.12433383,0.24290189,0.24290189,0.24290189,0.24290189
123,0.19800851,0.19800851,0.12433383,0.24290189,0.24290189,0.24290189,0.24290189
124,0.19800851,0.19800851,0.12433383,0.24290189,0.24290189,0.24290189,0.24290189
125,0.19800851,0.19800851,0.12433383,0.24290189,0.24290189,0.24290189,0.24290189
126,0.19800851,0.19800851,0.12433383,0.24290189,0.24290189,0.24290189,0.24290189
127,0.19800851,0.19800851,0.12433383,0.24290189,0.24290189,0.24290189,0.24290189
