,stable_A1,stable_A2,stable_B,stable_X1,stable_X2,stable_X3,stable_X4
27,0.13239332,0.13239332,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
28,0.13239332,0.13239332,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
29,0.13239332,0.13239332,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
30,0.13239332,0.13239332,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
31,0.13239332,0.13239332,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
32,0.15981114,0.15981114,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
33,0.15981114,0.15981114,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
34,0.15981114,0.15981114,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
35,0.15981114,0.15981114,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
36,0.15981114,0.15981114,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
37,0.15981114,0.15981114,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
38,0.15981114,0.15981114,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
39,0.15981114,0.15981114,0.17144378,0.2931677,0.2931677,0.2931677,0.2931677
40,0.2238308,0.2238308,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
41,0.2238308,0.2238308,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
42,0.2238308,0.2238308,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
43,0.2238308,0.2238308,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
44,0.2238308,0.2238308,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
45,0.2238308,0.2238308,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
46,0.2238308,0.2238308,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
47,0.2238308,0.2238308,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
48,0.14539254,0.14539254,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
49,0.14539254,0.14539254,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
50,0.14539254,0.14539254,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
51,0.14539254,0.14539254,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
52,0.14539254,0.14539254,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
53,0.14539254,0.14539254,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
54,0.14539254,0.14539254,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
55,0.14539254,0.14539254,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
56,0.29319534,0.29319534,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
57,0.29319534,0.29319534,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
58,0.29319534,0.29319534,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
59,0.29319534,0.29319534,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
60,0.29319534,0.29319534,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
61,0.29319534,0.29319534,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
62,0.29319534,0.29319534,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
63,0.29319534,0.29319534,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
64,0.13239332,0.13239332,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
65,0.13239332,0.13239332,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
66,0.13239332,0.13239332,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
67,0.13239332,0.13239332,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
68,0.13239332,0.13239332,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
69,0.13239332,0.13239332,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
70,0.13239332,0.13239332,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
71,0.13239332,0.13239332,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
72,0.15981114,0.15981114,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
73,0.15981114,0.15981114,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
74,0.15981114,0.15981114,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
75,0.15981114,0.15981114,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
76,0.15981114,0.15981114,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
77,0.15981114,0.15981114,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
78,0.15981114,0.15981114,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
79,0.15981114,0.15981114,0.24590002,0.2931677,0.2931677,0.2931677,0.2931677
80,0.2238308,0.2238308,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
81,0.2238308,0.2238308,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
82,0.2238308,0.2238308,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
83,0.2238308,0.2238308,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
84,0.2238308,0.2238308,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
85,0.2238308,0.2238308,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
86,0.2238308,0.2238308,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
87,0.2238308,0.2238308,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
88,0.14539254,0.14539254,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
89,0.14539254,0.14539254,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
90,0.14539254,0.14539254,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
91,0.14539254,0.14539254,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
92,0.14539254,0.14539254,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
93,0.14539254,0.14539254,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
94,0.14539254,0.14539254,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
95,0.14539254,0.14539254,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
96,0.29319534,0.29319534,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
97,0.29319534,0.29319534,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
98,0.29319534,0.29319534,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
99,0.29319534,0.29319534,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
100,0.29319534,0.29319534,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
101,0.29319534,0.29319534,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
102,0.29319534,0.29319534,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
103,0.29319534,0.29319534,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
104,0.13239332,0.13239332,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
105,0.13239332,0.13239332,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
106,0.13239332,0.13239332,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
107,0.13239332,0.13239332,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
108,0.13239332,0.13239332,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
109,0.13239332,0.13239332,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
110,0.13239332,0.13239332,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
111,0.13239332,0.13239332,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
112,0.15981114,0.15981114,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
113,0.15981114,0.15981114,0.18652663,0.2931677,0.2931677,0.2931677,0.2931677
