,diffusion_A1,diffusion_A2,diffusion_B,diffusion_X1,diffusion_X2,diffusion_X3,diffusion_X4
66,0.05642998,0.05642998,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
67,0.05642998,0.05642998,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
68,0.05642998,0.05642998,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
69,0.05642998,0.05642998,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
70,0.05642998,0.05642998,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
71,0.05642998,0.05642998,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
72,0.09401211,0.09401211,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
73,0.09401211,0.09401211,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
74,0.09401211,0.09401211,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
75,0.09401211,0.09401211,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
76,0.09401211,0.09401211,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
77,0.09401211,0.09401211,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
78,0.09401211,0.09401211,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
79,0.09401211,0.09401211,0.19706637,0.12320607,0.12320607,0.12320607,0.12320607
80,0.18140548,0.18140548,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
81,0.18140548,0.18140548,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
82,0.18140548,0.18140548,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
83,0.18140548,0.18140548,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
84,0.18140548,0.18140548,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
85,0.18140548,0.18140548,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
86,0.18140548,0.18140548,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
87,0.18140548,0.18140548,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
88,0.11237182,0.11237182,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
89,0.11237182,0.11237182,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
90,0.11237182,0.11237182,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
91,0.11237182,0.11237182,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
92,0.11237182,0.11237182,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
93,0.11237182,0.11237182,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
94,0.11237182,0.11237182,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
95,0.11237182,0.11237182,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
96,0.24055302,0.24055302,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
97,0.24055302,0.24055302,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
98,0.24055302,0.24055302,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
99,0.24055302,0.24055302,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
100,0.24055302,0.24055302,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
101,0.24055302,0.24055302,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
102,0.24055302,0.24055302,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
103,0.24055302,0.24055302,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
104,0.05642998,0.05642998,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
105,0.05642998,0.05642998,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
106,0.05642998,0.05642998,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
107,0.05642998,0.05642998,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
108,0.05642998,0.05642998,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
109,0.05642998,0.05642998,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
110,0.05642998,0.05642998,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
111,0.05642998,0.05642998,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
112,0.09401211,0.09401211,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
113,0.09401211,0.09401211,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
114,0.09401211,0.09401211,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
115,0.09401211,0.09401211,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
116,0.09401211,0.09401211,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
117,0.09401211,0.09401211,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
118,0.09401211,0.09401211,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
119,0.09401211,0.09401211,0.09387434,0.12320607,0.12320607,0.12320607,0.12320607
120,0.18140548,0.18140548,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
121,0.18140548,0.18140548,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
122,0.18140548,0.18140548,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
123,0.18140548,0.18140548,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
124,0.18140548,0.18140548,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
125,0.18140548,0.18140548,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
126,0.18140548,0.18140548,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
127,0.18140548,0.18140548,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
128,0.11237182,0.11237182,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
129,0.11237182,0.11237182,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
130,0.11237182,0.11237182,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
131,0.11237182,0.11237182,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
132,0.11237182,0.11237182,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
133,0.11237182,0.11237182,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
134,0.11237182,0.11237182,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
135,0.11237182,0.11237182,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
136,0.24055302,0.24055302,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
137,0.24055302,0.24055302,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
138,0.24055302,0.24055302,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
139,0.24055302,0.24055302,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
140,0.24055302,0.24055302,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
141,0.24055302,0.24055302,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
142,0.24055302,0.24055302,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
143,0.24055302,0.24055302,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
144,0.05642998,0.05642998,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
145,0.05642998,0.05642998,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
146,0.05642998,0.05642998,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
147,0.05642998,0.05642998,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
148,0.05642998,0.05642998,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
149,0.05642998,0.05642998,0.11944788,0.06952062,0.06952062,0.06952062,0.06952062
