,unstable_A1,unstable_A2,unstable_B,unstable_X1,unstable_X2,unstable_X3,unstable_X4
41,0.13039161,0.13039161,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
42,0.13039161,0.13039161,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
43,0.13039161,0.13039161,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
44,0.13039161,0.13039161,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
45,0.13039161,0.13039161,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
46,0.13039161,0.13039161,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
47,0.13039161,0.13039161,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
48,0.08785469,0.08785469,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
49,0.08785469,0.08785469,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
50,0.08785469,0.08785469,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
51,0.08785469,0.08785469,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
52,0.08785469,0.08785469,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
53,0.08785469,0.08785469,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
54,0.08785469,0.08785469,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
55,0.08785469,0.08785469,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
56,0.18495333,0.18495333,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
57,0.18495333,0.18495333,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
58,0.18495333,0.18495333,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
59,0.18495333,0.18495333,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
60,0.18495333,0.18495333,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
61,0.18495333,0.18495333,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
62,0.18495333,0.18495333,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
63,0.18495333,0.18495333,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
64,0.13697362,0.13697362,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
65,0.13697362,0.13697362,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
66,0.13697362,0.13697362,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
67,0.13697362,0.13697362,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
68,0.13697362,0.13697362,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
69,0.13697362,0.13697362,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
70,0.13697362,0.13697362,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
71,0.13697362,0.13697362,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
72,0.12144525,0.12144525,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
73,0.12144525,0.12144525,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
74,0.12144525,0.12144525,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
75,0.12144525,0.12144525,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
76,0.12144525,0.12144525,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
77,0.12144525,0.12144525,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
78,0.12144525,0.12144525,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
79,0.12144525,0.12144525,0.19764668,0.1536212,0.1536212,0.1536212,0.1536212
80,0.13039161,0.13039161,0.13347177,0.1536212,0.1536212,0.1536212,0.1536212
81,0.13039161,0.13039161,0.13347177,0.1536212,0.1536212,0.1536212,0.1536212
82,0.13039161,0.13039161,0.13347177,0.1536212,0.1536212,0.1536212,0.1536212
83,0.13039161,0.13039161,0.13347177,0.1536212,0.1536212,0.1536212,0.1536212
84,0.13039161,0.13039161,0.13347177,0.1536212,0.1536212,0.1536212,0.1536212
85,0.13039161,0.13039161,0.13347177,0.1536212,0.1536212,0.1536212,0.1536212
86,0.13039161,0.13039161,0.13347177,0.1536212,0.1536212,0.1536212,0.1536212
87,0.13039161,0.13039161,0.13347177,0.1536212,0.1536212,0.1536212,0.1536212
