,solar_A1,solar_A2,solar_B,solar_X1,solar_X2,solar_X3,solar_X4
125,0.21909729,0.21909729,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
126,0.21909729,0.21909729,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
127,0.21909729,0.21909729,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
128,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
129,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
130,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
131,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
132,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
133,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
134,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
135,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
136,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
137,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
138,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
139,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
140,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
141,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
142,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
143,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
144,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
145,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
146,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
147,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
148,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
149,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
150,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
151,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
152,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
153,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
154,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
155,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
156,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
157,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
158,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
159,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
160,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
161,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
162,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
163,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
164,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
165,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
166,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
167,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
168,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
169,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
170,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
171,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
172,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
173,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
174,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
