,intercalation_A1,intercalation_A2,intercalation_B,intercalation_X1,intercalation_X2,intercalation_X3,intercalation_X4
48,0.23392576,0.23392576,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
49,0.23392576,0.23392576,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
50,0.23392576,0.23392576,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
51,0.23392576,0.23392576,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
52,0.23392576,0.23392576,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
53,0.23392576,0.23392576,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
54,0.23392576,0.23392576,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
55,0.23392576,0.23392576,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
56,0.1273827,0.1273827,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
57,0.1273827,0.1273827,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
58,0.1273827,0.1273827,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
59,0.1273827,0.1273827,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
60,0.1273827,0.1273827,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
61,0.1273827,0.1273827,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
62,0.1273827,0.1273827,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
63,0.1273827,0.1273827,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
64,0.1626041,0.1626041,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
65,0.1626041,0.1626041,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
66,0.1626041,0.1626041,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
67,0.1626041,0.1626041,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
68,0.1626041,0.1626041,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
69,0.1626041,0.1626041,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
70,0.1626041,0.1626041,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
71,0.1626041,0.1626041,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
72,0.27493858,0.27493858,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
73,0.27493858,0.27493858,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
74,0.27493858,0.27493858,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
75,0.27493858,0.27493858,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
76,0.27493858,0.27493858,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
77,0.27493858,0.27493858,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
78,0.27493858,0.27493858,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
79,0.27493858,0.27493858,0.2073872,0.054247532,0.054247532,0.054247532,0.054247532
80,0.35971236,0.35971236,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
81,0.35971236,0.35971236,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
82,0.35971236,0.35971236,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
83,0.35971236,0.35971236,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
84,0.35971236,0.35971236,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
85,0.35971236,0.35971236,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
86,0.35971236,0.35971236,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
87,0.35971236,0.35971236,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
88,0.23392576,0.23392576,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
89,0.23392576,0.23392576,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
90,0.23392576,0.23392576,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
91,0.23392576,0.23392576,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
92,0.23392576,0.23392576,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
93,0.23392576,0.23392576,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
94,0.23392576,0.23392576,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
95,0.23392576,0.23392576,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
96,0.1273827,0.1273827,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
97,0.1273827,0.1273827,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
98,0.1273827,0.1273827,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
99,0.1273827,0.1273827,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
100,0.1273827,0.1273827,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
101,0.1273827,0.1273827,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
102,0.1273827,0.1273827,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
103,0.1273827,0.1273827,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
104,0.1626041,0.1626041,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
105,0.1626041,0.1626041,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
106,0.1626041,0.1626041,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
107,0.1626041,0.1626041,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
108,0.1626041,0.1626041,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
109,0.1626041,0.1626041,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
110,0.1626041,0.1626041,0.18013851,0.054247532,0.054247532,0.054247532,0.054247532
