,rechargeable_A1,rechargeable_A2,rechargeable_B,rechargeable_X1,rechargeable_X2,rechargeable_X3,rechargeable_X4
82,0.57163334,0.57163334,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
83,0.57163334,0.57163334,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
84,0.57163334,0.57163334,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
85,0.57163334,0.57163334,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
86,0.57163334,0.57163334,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
87,0.57163334,0.57163334,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
88,0.51970124,0.51970124,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
89,0.51970124,0.51970124,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
90,0.51970124,0.51970124,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
91,0.51970124,0.51970124,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
92,0.51970124,0.51970124,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
93,0.51970124,0.51970124,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
94,0.51970124,0.51970124,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
95,0.51970124,0.51970124,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
96,0.2053389,0.2053389,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
97,0.2053389,0.2053389,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
98,0.2053389,0.2053389,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
99,0.2053389,0.2053389,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
100,0.2053389,0.2053389,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
101,0.2053389,0.2053389,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
102,0.2053389,0.2053389,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
103,0.2053389,0.2053389,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
104,0.3491499,0.3491499,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
105,0.3491499,0.3491499,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
106,0.3491499,0.3491499,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
107,0.3491499,0.3491499,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
108,0.3491499,0.3491499,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
109,0.3491499,0.3491499,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
110,0.3491499,0.3491499,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
111,0.3491499,0.3491499,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
112,0.47297877,0.47297877,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
113,0.47297877,0.47297877,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
114,0.47297877,0.47297877,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
115,0.47297877,0.47297877,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
116,0.47297877,0.47297877,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
117,0.47297877,0.47297877,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
118,0.47297877,0.47297877,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
119,0.47297877,0.47297877,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
120,0.57163334,0.57163334,0.26438892,0.23458146,0.23458146,0.23458146,0.23458146
121,0.57163334,0.57163334,0.26438892,0.23458146,0.23458146,0.23458146,0.23458146
122,0.57163334,0.57163334,0.26438892,0.23458146,0.23458146,0.23458146,0.23458146
123,0.57163334,0.57163334,0.26438892,0.23458146,0.23458146,0.23458146,0.23458146
