,photo_A1,photo_A2,photo_B,photo_X1,photo_X2,photo_X3,photo_X4
32,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
33,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
34,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
35,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
36,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
37,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
38,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
39,0.32346746,0.32346746,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989
40,0.21369803,0.21369803,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
41,0.21369803,0.21369803,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
42,0.21369803,0.21369803,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
43,0.21369803,0.21369803,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
44,0.21369803,0.21369803,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
45,0.21369803,0.21369803,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
46,0.21369803,0.21369803,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
47,0.21369803,0.21369803,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
48,0.24808288,0.24808288,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
49,0.24808288,0.24808288,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
50,0.24808288,0.24808288,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
51,0.24808288,0.24808288,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
52,0.24808288,0.24808288,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
53,0.24808288,0.24808288,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
54,0.24808288,0.24808288,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
55,0.24808288,0.24808288,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
56,0.24078286,0.24078286,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
57,0.24078286,0.24078286,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
58,0.24078286,0.24078286,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
59,0.24078286,0.24078286,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
60,0.24078286,0.24078286,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
61,0.24078286,0.24078286,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
62,0.24078286,0.24078286,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
63,0.24078286,0.24078286,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
64,0.30728492,0.30728492,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
65,0.30728492,0.30728492,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
66,0.30728492,0.30728492,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
67,0.30728492,0.30728492,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
68,0.30728492,0.30728492,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
69,0.30728492,0.30728492,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
70,0.30728492,0.30728492,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
71,0.30728492,0.30728492,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
72,0.32346746,0.32346746,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
73,0.32346746,0.32346746,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
74,0.32346746,0.32346746,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
75,0.32346746,0.32346746,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
76,0.32346746,0.32346746,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
77,0.32346746,0.32346746,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
78,0.32346746,0.32346746,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
79,0.32346746,0.32346746,0.15193579,0.2255989,0.2255989,0.2255989,0.2255989
