,A2 NumberofProtons,X4 NumberofNeutrons,Ion Specific Heat,Ion Density,X3 AtomicRadius,X4 Firstlonization,Ion Firstlonization,X2 AtomicMass,A1 Melting Point,X1 Melting Point,Ion Melting Point,Without ion Final Energy(ev),With ion Final Energy(ev),Adsorption energy(ev)
86,19,18,0.897,2.7,0.97,12.9676,5.9858,35.453,336.5,172.31,933.4,-5330.191646,-5435.511914,0
87,19,18,0.388,7.13,1.3,12.9676,9.3942,79.904,336.5,266.05,692.88,-5784.632888,-7818.426801,0
88,55,18,0.388,7.13,0.97,12.9676,9.3942,35.453,301.7,172.31,692.88,-5298.103631,-7331.900267,0
89,37,45,0.897,2.7,1.1,11.8138,5.9858,79.904,336.5,266.05,933.4,-8773.559922,-8878.925851,0
90,19,10,0.897,2.7,0.57,17.4228,5.9858,18.998,336.5,53.63,933.4,-6280.142927,-6385.529313,0
91,37,45,0.388,7.13,1.1,11.8138,9.3942,79.904,336.5,266.05,692.88,-8773.559922,-10807.43879,0
92,19,45,0.897,2.7,1.1,11.8138,5.9858,79.904,453.85,266.05,933.4,-4903.262548,-5008.691754,0
93,55,10,0.897,2.7,0.57,17.4228,5.9858,18.998,301.7,53.63,933.4,-6737.099574,-6842.530648,0
94,37,10,0.897,2.7,0.57,17.4228,5.9858,18.998,312.79,53.63,933.4,-6078.786385,-6184.229869,0
95,55,10,0.388,7.13,0.57,17.4228,9.3942,18.998,301.7,53.63,692.88,-6248.282588,-8282.181872,0
96,37,45,0.388,7.13,1.1,11.8138,9.3942,79.904,312.79,266.05,692.88,-5291.778399,-7325.70826,0
97,55,18,0.388,7.13,0.97,12.9676,9.3942,35.453,301.7,172.31,692.88,-8679.194419,-10713.14648,0
98,19,18,0.897,2.7,0.97,12.9676,5.9858,35.453,336.5,172.31,933.4,-5819.009288,-5924.534596,0
99,3,74,0.897,2.7,1.3,10.4513,5.9858,126.904,453.85,386.65,933.4,-5642.303438,-5747.842671,0
100,37,45,0.388,7.13,1.1,11.8138,9.3942,79.904,312.79,266.05,692.88,-8672.777297,-10706.86014,0
101,37,10,0.388,7.13,0.57,17.4228,9.3942,18.998,312.79,53.63,692.88,-6078.786385,-8112.884604,0
102,11,18,1.023,1.74,0.97,12.9676,7.6462,35.453,371.15,172.31,923.15,-6355.65018,-8042.491901,0
103,37,45,0.897,2.7,1.1,11.8138,5.9858,79.904,312.79,266.05,933.4,-8672.777297,-8778.458348,0
104,3,74,0.388,7.13,1.3,10.4513,9.3942,126.904,453.85,386.65,692.88,-5642.303438,-7676.539148,0
105,11,18,1.023,1.74,0.97,12.9676,7.6462,35.453,371.15,172.31,923.15,-6844.478788,-8531.43498,0
106,11,74,0.897,2.7,1.3,10.4513,5.9858,126.904,371.15,386.65,933.4,-8337.023484,-8442.845227,0
107,11,45,1.023,1.74,0.97,11.8138,7.6462,35.453,371.15,172.31,923.15,-6396.420853,-8083.427822,0
108,11,74,0.388,7.13,1.3,10.4513,9.3942,126.904,371.15,386.65,692.88,-8337.023484,-10371.32404,0
109,11,10,1.023,1.74,0.57,17.4228,7.6462,18.998,371.15,53.63,923.15,-10686.34741,-12373.4048,0
110,19,18,1.023,1.74,0.97,12.9676,7.6462,35.453,371.15,172.31,923.15,-6331.743092,-8018.824681,0
111,11,45,1.023,1.74,1.1,11.8138,7.6462,79.904,371.15,266.05,923.15,-7007.75117,-8694.836411,0
112,19,45,0.897,2.7,1.1,11.8138,5.9858,79.904,336.5,266.05,933.4,-5982.225723,-6088.150781,0
113,19,45,0.897,2.7,1.1,11.8138,5.9858,79.904,336.5,266.05,933.4,-5493.301198,-5599.289181,0
114,37,18,0.897,2.7,0.97,12.9676,5.9858,35.453,312.79,172.31,933.4,-5128.741271,-5234.740667,0
115,11,74,0.388,7.13,1.3,10.4513,9.3942,126.904,371.15,386.65,692.88,-7847.815822,-9882.276764,0
116,37,74,0.388,7.13,1.3,10.4513,9.3942,35.453,312.79,266.05,692.88,-5874.601158,-7909.081065,0
